         600127126 function calls (600120319 primitive calls) in 537.298 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    45078    1.010    0.000   12.186    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:837(errorTypeF2)
  2840410    0.971    0.000    0.971    0.000 {method 'getrandbits' of '_random.Random' objects}
   334611    0.962    0.000  394.064    0.001 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:88(checkFeasibility)
    51098    0.909    0.000    1.224    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:649(<listcomp>)
     1243    0.842    0.001   65.016    0.052 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:677(offspringF)
    61952    0.818    0.000    1.132    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:933(<listcomp>)
   124300    0.802    0.000   18.439    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:543(mutationI)
    44915    0.794    0.000    8.687    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:786(errorTypeF1)
     2484    0.749    0.000    0.749    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:126(setCandList)
    55692    0.747    0.000    1.031    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:864(<listcomp>)
    54001    0.720    0.000    0.995    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:809(<listcomp>)
        1    0.691    0.691    0.691    0.691 {built-in method builtins.input}
    61952    0.663    0.000    0.663    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:935(<listcomp>)
    51098    0.661    0.000    0.661    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:651(<listcomp>)
    43899    0.627    0.000    5.442    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:575(errorTypeI1)
    55692    0.623    0.000    0.623    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:866(<listcomp>)
     1244    0.623    0.001  396.925    0.319 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:69(twoPop)
    54001    0.606    0.000    0.606    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:811(<listcomp>)
    45078    0.564    0.000    0.693    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:844(<listcomp>)
     1840    0.561    0.000    0.585    0.000 {built-in method io.open}
    88638    0.508    0.000    1.605    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:1011(mutationRand)
   395490    0.490    0.000    0.490    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:99(setInfVariables)
    45078    0.477    0.000    0.477    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:842(<listcomp>)
    43578    0.426    0.000    0.564    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:629(<listcomp>)
   669222    0.414    0.000    0.619    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:124(addCand)
  1968105    0.381    0.000    0.381    0.000 {method 'bit_length' of 'int' objects}
    37095    0.377    0.000    0.491    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:599(<listcomp>)
    44915    0.375    0.000    0.501    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:789(<listcomp>)
  1866413    0.331    0.000    0.331    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:97(getFitness)
   879519    0.328    0.000    0.328    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:93(getRelationsList)
    49528    0.323    0.000    0.454    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:913(<listcomp>)
      374    0.310    0.001    0.339    0.001 <frozen importlib._bootstrap_external>:914(get_data)
    37095    0.296    0.000    0.419    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:585(<listcomp>)
    88638    0.284    0.000    0.284    0.000 {method 'copy' of 'list' objects}
    51098    0.263    0.000    0.263    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:647(<listcomp>)
    61952    0.237    0.000    0.237    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:931(<listcomp>)
    54001    0.232    0.000    0.232    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:807(<listcomp>)
    55692    0.221    0.000    0.221    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:862(<listcomp>)
   185866    0.196    0.000    0.196    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:115(getFeaVariables)
     1243    0.190    0.000   18.745    0.015 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:529(offspringI)
    46655    0.178    0.000    0.234    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:309(<listcomp>)
     2219    0.175    0.000    0.175    0.000 {built-in method nt.stat}
   361162    0.163    0.000    0.163    0.000 {method 'pop' of 'list' objects}
   532523    0.153    0.000    0.153    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:91(setRelationsList)
     1243    0.144    0.000    0.226    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:970(<listcomp>)
   334611    0.143    0.000    0.143    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:95(setFitness)
   333278    0.133    0.000    0.133    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:144(<listcomp>)
     1244    0.120    0.000    3.139    0.003 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:102(calcFit)
   129837    0.118    0.000    0.381    0.000 C:\Users\luizf\AppData\Local\Programs\Python\Python37\lib\random.py:256(choice)
     1333    0.113    0.000    0.166    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:419(calc_f3)
     1333    0.105    0.000    0.154    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:444(calc_f4)
     1333    0.104    0.000    0.156    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:469(calc_f5)
   124301    0.091    0.000    0.091    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:104(getInfVariables)
    86562    0.091    0.000    0.091    0.000 {method 'remove' of 'list' objects}
      374    0.082    0.000    0.082    0.000 {built-in method marshal.loads}
   179971    0.078    0.000    0.078    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:1158(<listcomp>)
     1333    0.069    0.000    0.423    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:300(calc_f1)
     1240    0.065    0.000    0.099    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:695(<listcomp>)
   139965    0.059    0.000    0.059    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:349(<listcomp>)
       63    0.059    0.001    0.063    0.001 {built-in method _imp.create_dynamic}
    37095    0.056    0.000    0.056    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:591(<listcomp>)
    44915    0.054    0.000    0.054    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:795(<listcomp>)
      319    0.051    0.000    0.051    0.000 {built-in method builtins.compile}
    43578    0.048    0.000    0.048    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:635(<listcomp>)
     7224    0.045    0.000    0.045    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:869(<listcomp>)
     1512    0.043    0.000    0.043    0.000 {method 'sub' of 're.Pattern' objects}
     1333    0.043    0.000    0.051    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:304(<listcomp>)
     2732    0.040    0.000    0.050    0.000 {method 'writerow' of '_csv.writer' objects}
    49528    0.039    0.000    0.039    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:919(<listcomp>)
     1243    0.037    0.000   42.094    0.034 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:961(selectionI)
