Pop;Iter;Min;Max;Avg
Inf;1;-0.017909426213924485;-0.0030229286284649613;-0.009540286702916461
Inf;2;-0.017909426213924485;-0.0034602076124567475;-0.007783565915053805
Inf;3;-0.010361610707631471;-0.0034602076124567475;-0.006196053081866232
Inf;4;-0.007775961063158296;-0.0025856496444731747;-0.005278717821970418
Inf;5;-0.007775961063158296;-0.0025856496444731747;-0.0051931632381459385
Inf;6;-0.007775961063158296;-0.0012928248222365873;-0.004609490855165597
Inf;7;-0.006483136240921709;-0.0012928248222365873;-0.004579071447583559
Fea;7;0.5251062281109508;0.5251062281109508;0.5251062281109508
Inf;8;-0.006483136240921709;-0.0025856496444731747;-0.004612342674626413
Fea;8;0.5251062281109508;0.5258255088302314;0.5253459883507109
Inf;9;-0.006483136240921709;-0.0012928248222365873;-0.0044507395718468385
Fea;9;0.5251062281109508;0.5351014181061408;0.5277848457895684
Inf;10;-0.006483136240921709;-0.0025856496444731747;-0.004718810601163542
Fea;10;0.5251062281109508;0.5351014181061408;0.5277848457895684
Inf;11;-0.006483136240921709;-0.0012928248222365873;-0.00415700216738279
Fea;11;0.5235078265125491;0.5351014181061408;0.5276250696682538
Inf;12;-0.006483136240921709;-0.0012928248222365873;-0.0034003194037796115
Fea;12;0.5235078265125491;0.5351014181061408;0.5288975182209221
Inf;13;-0.006901403095174723;-0.0012928248222365873;-0.0034117266816228757
Fea;13;0.5235078265125491;0.5416250532012042;0.5301911997124058
Inf;14;-0.004753032434693335;-0.0012928248222365873;-0.0030885204760637283
Fea;14;0.5235651750152758;0.5498358899834698;0.5333724706667861
Inf;15;-0.0051903114186851226;-0.0017301038062283738;-0.002960188600327009
Fea;15;0.5195306909807917;0.5508658124419635;0.5353098692470418
Inf;16;-0.004753032434693335;-0.0012928248222365873;-0.0029811019430396593
Fea;16;0.5084470799531178;0.5508658124419635;0.5370187933159055
Inf;17;-0.004753032434693335;-0.0012928248222365873;-0.0026788090801931636
Fea;17;0.5197849821441738;0.5562390106723046;0.5400577122059824
Inf;18;-0.004753032434693335;-0.0017301038062283738;-0.0028527700673029394
Fea;18;0.5205619829211746;0.5583516599278111;0.5446488909499084
Inf;19;-0.005399444845811628;-0.0017301038062283738;-0.00318738355070535
Fea;19;0.5351014181061408;0.5583516599278111;0.5467405741881539
Inf;20;-0.0066922696680482155;-0.0012928248222365873;-0.0032938514772424808
Fea;20;0.5351014181061408;0.5647838943600455;0.5515573970478339
Inf;21;-0.0066922696680482155;-0.0012928248222365873;-0.0025162553709266507
Fea;21;0.5351014181061408;0.5647838943600455;0.5509036335341803
Inf;22;-0.0066922696680482155;-0.0012928248222365873;-0.002915510095440891
Fea;22;0.5351014181061408;0.5658661454422965;0.554246482748458
Inf;23;-0.005399444845811628;-0.0012928248222365873;-0.00255998326932583
Fea;23;0.5351014181061408;0.5703951719713231;0.5546563565132769
Inf;24;-0.005399444845811628;-0.0017301038062283738;-0.0027767215483478452
Fea;24;0.5351925967687479;0.5703951719713231;0.557293838872188
Inf;25;-0.0066922696680482155;-0.0017301038062283738;-0.0031759762728620863
Fea;25;0.5441560301607526;0.5716703412464924;0.5607650691016098
Inf;26;-0.004753032434693335;-0.0017301038062283738;-0.002615118445568272
Fea;26;0.5292310578799528;0.5743427708576975;0.5589882002360971
Inf;27;-0.004753032434693335;-0.0017301038062283738;-0.002442108064945435
Fea;27;0.5206897050528858;0.5796246092007603;0.5612925745662406
Inf;28;-0.004753032434693335;-0.0017301038062283738;-0.002722536978592342
Fea;28;0.5485876673066756;0.5798606694368206;0.5652260596777212
Inf;29;-0.004753032434693335;-0.0012928248222365873;-0.002960188600327009
Fea;29;0.5485876673066756;0.58214114028872;0.5667252530254302
Inf;30;-0.004753032434693335;-0.0012928248222365873;-0.0022909616335221867
Fea;30;0.5207446236792329;0.58214114028872;0.5668319578792786
Inf;31;-0.004753032434693335;-0.0012928248222365873;-0.002377466823833606
Fea;31;0.5529803645565157;0.58214114028872;0.5708084350910798
Inf;32;-0.004315753450701548;-0.0017301038062283738;-0.0022909616335221867
Fea;32;0.5529803645565157;0.5844858062048144;0.5722704322809989
Inf;33;-0.004315753450701548;-0.0017301038062283738;-0.0026578957374805124
Fea;33;0.5604662120423632;0.5844858062048144;0.5738408364799746
Inf;34;-0.004753032434693335;-0.0017301038062283738;-0.003024829841438838
Fea;34;0.5604662120423632;0.5844858062048144;0.574439573192997
Inf;35;-0.004315753450701548;-0.0017301038062283738;-0.002992509220882923
Fea;35;0.5604662120423632;0.5882585414061211;0.5748956211133306
Inf;36;-0.004753032434693335;-0.0017301038062283738;-0.002863226738659265
Fea;36;0.5604662120423632;0.5882585414061211;0.5760529071007366
Inf;37;-0.004753032434693335;-0.0017301038062283738;-0.0030362371192821013
Fea;37;0.5587179602941115;0.5882585414061211;0.5759719058582968
Inf;38;-0.0034602076124567475;-0.0017301038062283738;-0.0028746340165025286
Fea;38;0.5587179602941115;0.5918771450247248;0.579495286741668
Inf;39;-0.0051903114186851226;-0.0017301038062283738;-0.0030248298414388385
Fea;39;0.5599281786471869;0.5918771450247248;0.5827593246832281
Inf;40;-0.006045857256929923;-0.0017301038062283738;-0.00287368341001559
Fea;40;0.5599281786471869;0.5945934763124846;0.5821799985352205
Inf;41;-0.006045857256929923;-0.0017301038062283738;-0.0029392752576143577
Fea;41;0.5599281786471869;0.5948605973588263;0.5850390780541403
Inf;42;-0.004753032434693335;-0.0017301038062283738;-0.002312825582721776
Fea;42;0.5675819851581363;0.5959594984577273;0.5882217824681633
Inf;43;-0.004753032434693335;-0.0017301038062283738;-0.0023784174303205442
Fea;43;0.5874526806002602;0.5959594984577273;0.5925381539015179
Inf;44;-0.004753032434693335;-0.0017301038062283738;-0.0023565534811209547
Fea;44;0.5876302807778605;0.5959594984577273;0.59264699798229
Inf;45;-0.006483136240921709;-0.0017301038062283738;-0.0025514278109433812
Fea;45;0.589811347574312;0.5967322898798696;0.5940504235832181
Inf;46;-0.006483136240921709;-0.0017301038062283738;-0.0031997414350355517
Fea;46;0.589811347574312;0.6005049530031821;0.5947443751971498
Inf;47;-0.004753032434693335;-0.0012928248222365873;-0.002334689531921365
Fea;47;0.589811347574312;0.6028907490253418;0.5956950634440418
Inf;48;-0.004753032434693335;-0.0012928248222365873;-0.0018593862884520318
Fea;48;0.5917175366233581;0.6042304349804124;0.5972954948142033
Inf;49;-0.004753032434693335;-0.0017301038062283738;-0.002399330773033195
Fea;49;0.5917175366233581;0.6042304349804124;0.5984761973968541
Inf;50;-0.004315753450701548;-0.0017301038062283738;-0.002442108064945435
Fea;50;0.5917175366233581;0.6042304349804124;0.599074159302858
Inf;51;-0.004753032434693335;-0.0017301038062283738;-0.0023556028746340167
