Pop;Iter;Min;Max;Avg
Inf;1;-0.10871848739495799;-0.024725274725274728;-0.05565610859728508
Inf;2;-0.10459760827407887;-0.016483516483516484;-0.05366233031674209
Inf;3;-0.10459760827407887;-0.016483516483516484;-0.05552884615384616
Inf;4;-0.09635585003232061;-0.016483516483516484;-0.04906270200387847
Inf;5;-0.09635585003232061;-0.008241758241758242;-0.05511675824175825
Inf;6;-0.08811409179056237;-0.016483516483516484;-0.049341467356173244
Fea;6;0.5048274863256558;0.5048274863256558;0.5048274863256558
Inf;7;-0.07017614738202974;-0.016483516483516484;-0.03866960245636716
Fea;7;0.5048274863256558;0.506123967622137;0.5054757269738963
Inf;8;-0.061934389140271495;-0.016483516483516484;-0.037706043956043954
Fea;8;0.5048274863256558;0.506123967622137;0.5054757269738963
Inf;9;-0.061934389140271495;-0.016483516483516484;-0.036118293471234644
Fea;9;0.5048274863256558;0.506123967622137;0.5054757269738963
Inf;10;-0.07017614738202974;-0.008241758241758242;-0.03557894311570782
Fea;10;0.5048274863256558;0.5120678649946059;0.5062774550077672
Inf;11;-0.052359405300581766;-0.008241758241758242;-0.032767049127343253
Fea;11;0.5048274863256558;0.5133643462910871;0.5076738938863491
Inf;12;-0.052359405300581766;-0.008241758241758242;-0.03401543309631545
Fea;12;0.499024955523125;0.5188490203471898;0.5090785963267658
Inf;13;-0.052359405300581766;-0.008241758241758242;-0.03664552359405301
Fea;13;0.499024955523125;0.5217467575306413;0.5096866513716645
Inf;14;-0.052359405300581766;-0.008241758241758242;-0.035403199741435035
Fea;14;0.499024955523125;0.5217467575306413;0.5103992558259967
Inf;15;-0.052359405300581766;-0.008241758241758242;-0.028106819650937292
Fea;15;0.499024955523125;0.5278240136078973;0.5120606210621784
Inf;16;-0.052359405300581766;-0.008241758241758242;-0.028385585003232055
Fea;16;0.49718512868329817;0.5285279128832252;0.5139862949867229
Inf;17;-0.052359405300581766;-0.011029411764705881;-0.030870232708467994
Fea;17;0.49718512868329817;0.5285279128832252;0.5157528736461587
Inf;18;-0.05514705882352941;-0.011029411764705881;-0.03417905623787977
Fea;18;0.49718512868329817;0.5357682915521752;0.5160360967973523
Inf;19;-0.05514705882352941;-0.011029411764705881;-0.03569408532643826
Fea;19;0.506123967622137;0.5357682915521752;0.5192672174628659
Inf;20;-0.06338881706528765;-0.011029411764705881;-0.035694085326438266
Fea;20;0.506123967622137;0.5357682915521752;0.5209429887814944
Inf;21;-0.052359405300581766;-0.019271170006464125;-0.03499717194570136
Fea;21;0.5033765563032971;0.5370965928804765;0.5237732043175922
Inf;22;-0.052359405300581766;-0.011029411764705881;-0.03486384938590821
Fea;22;0.506123967622137;0.5413848971687808;0.5263709105329454
Inf;23;-0.052359405300581766;-0.011029411764705881;-0.032657967032967035
Fea;23;0.506123967622137;0.5427131984970821;0.5291786028406377
