sLevel;sCode;sName;sQuadri;sPeriod;sCharge;pName;pPeriod;pCharge;pQuadriSabbath
G;DAMCTA004-17SA;ARQUITETURA DE COMPUTADORES;Q3;DIURNO;4;VERA NAGAMUTA;NEGOCI·VEL;18;Q1
G;NAMCTA004-17SA;ARQUITETURA DE COMPUTADORES;Q3;NOTURNO;4;JOSÈ ARTUR QUILICI-GONZALEZ;NEGOCI·VEL;18;NENHUM
G;DA1MCTA022-13SA;REDES DE COMPUTADORES;Q1;DIURNO;4;GUSTAVO SOUSA PAVANI;DIURNO;18;NENHUM
G;DAMCTA026-13SA;SISTEMAS OPERACIONAIS;Q1;DIURNO;4;FABRICIO OLIVETTI DE FRANÁA;DIURNO;18;NENHUM
G;DAMCTA025-13SA;SISTEMAS DISTRIBUÌDOS;Q2;DIURNO;4;RONALDO;NEGOCI·VEL;18;Q1
G;NA1MCTA008-17SA;COMPUTAÁ„O GR·FICA;Q3;NOTURNO;4;SILVIA DOTTA;NEGOCI·VEL;18;Q1
G;DAMCTA015-13SA;LINGUAGENS FORMAIS E AUTOMATA;Q1;DIURNO;4;JOSÈ ARTUR QUILICI-GONZALEZ;NEGOCI·VEL;18;NENHUM
G;NAMCTA015-13SA;LINGUAGENS FORMAIS E AUTOMATA;Q1;NOTURNO;4;DENISE GOYA;NEGOCI·VEL;18;Q2
G;NA1MCTA001-13SA;ALGORITMOS E ESTRUTURAS DE DADOS I;Q1;NOTURNO;4;RONALDO;NEGOCI·VEL;18;Q1
G;NA2MCTA001-13SA;ALGORITMOS E ESTRUTURAS DE DADOS I;Q1;NOTURNO;4;VALÈRIO RAMOS BATISTA;DIURNO;18;NENHUM
G;NA1MCTA028-15SA;PROGRAMAÁ„O ESTRUTURADA;Q3;NOTURNO;3;ALEXANDRE NOMA;NOTURNO;18;Q2
G;NA2MCTA028-15SA;PROGRAMAÁ„O ESTRUTURADA;Q3;NOTURNO;3;GUIOU KOBAYASHI;NEGOCI·VEL;18;Q2
G;DAMCTA008-17SA;COMPUTAÁ„O GR·FICA;Q3;DIURNO;4;WAGNER TANAKA BOTELHO;NEGOCI·VEL;18;Q2
G;NAMCTA008-17SA;COMPUTAÁ„O GR·FICA;Q3;NOTURNO;4;CL·UDIA JOSIMAR ABR„O DE ARA˙JO;DIURNO;18;Q2
G;DA1MCTA024-13SA;SISTEMAS DIGITAIS;Q2;DIURNO;4;FERNANDO TEUBL FERREIRA;NEGOCI·VEL;18;Q2
G;DA2MCTA024-13SA;SISTEMAS DIGITAIS;Q2;DIURNO;2;CARLOS DA SILVA DOS SANTOS;NEGOCI·VEL;18;Q3
G;NA1MCTA024-13SA;SISTEMAS DIGITAIS;Q2;NOTURNO;4;ROGÈRIO ROSSI;NEGOCI·VEL;18;NENHUM
G;NA2MCTA024-13SA;SISTEMAS DIGITAIS;Q2;NOTURNO;2;KARLA VITTORI;NOTURNO;18;Q2
G;NA3MCTA028-15SA;PROGRAMAÁ„O ESTRUTURADA;Q3;NOTURNO;4;FABRICIO OLIVETTI DE FRANÁA;DIURNO;18;NENHUM
G;NA4MCTA028-15SA;PROGRAMAÁ„O ESTRUTURADA;Q3;NOTURNO;4;ROGÈRIO ROSSI;NEGOCI·VEL;18;NENHUM
G;NA1MCTA037-17SA;BANCO DE DADOS;Q3;NOTURNO;1;MARIA DAS GRAÁAS BRUNO MARIETTO;NEGOCI·VEL;18;Q2
