maxIter;100
numCand;30
numCandInit;100
convergDetect;0
stopFitValue;0.9
pctParentsCross;0
pctMut;30
pctElitism;100
w_alpha;1.0
w_beta;3.0
w_gamma;2.0
w_delta;10.0
w_omega;7.7
w_sigma;1.5
w_pi;1.0
w_rho;1.3

Best solutions found:;[0]
82;INTELIGÊNCIA ARTIFICIAL;ANDRÉ LUIZ BRANDÃO
83;INTELIGÊNCIA ARTIFICIAL;MARIO LESTON REY
84;INTELIGÊNCIA ARTIFICIAL;CARLOS DA SILVA DOS SANTOS
85;COMPUTADORES, ÉTICA E SOCIEDADE;JOAO PAULO GOIS
86;COMPUTADORES, ÉTICA E SOCIEDADE;JULIANA
87;MINERAÇÃO DE DADOS;JULIANA
88;INTELIGÊNCIA ARTIFICIAL;FRANCISCO JAVIER ROPERO PELÁEZ
89;INTELIGÊNCIA ARTIFICIAL;ALEXANDRE NOMA
90;COMPUTAÇÃO EVOLUTIVA E CONEXIONISTA;DAVID CORREA MARTINS JR
91;SISTEMAS MULTI-ROBÔS SOCIAIS;ANDRÉ LUIZ BRANDÃO

pName;numSubj;notPref;notPeriod;isSabbath;notCampus;numI2;numI3;difCharge
1;ALEXANDRE NOMA;2;1;1;0;0;0;0;13.0
2;ANDRÉ BALAN;1;0;0;0;0;0;0;14.0
3;ANDRÉ LUIZ BRANDÃO;4;3;0;0;0;0;0;4.0
4;ARITANAN GRUBER;1;1;0;0;0;0;0;14.0
5;CARLOS DA SILVA DOS SANTOS;2;1;0;1;0;0;0;14.5
6;CESAR GIACOMINI PENTEADO;2;1;0;0;0;0;0;10.0
7;CLÁUDIA JOSIMAR ABRÃO DE ARAÚJO;1;1;0;0;0;0;0;15.0
8;CRISTIANE SATO;3;2;0;0;0;0;0;9.0
9;DANIEL MORGATO MARTIN;2;0;0;0;0;0;0;10.0
10;DAVID CORREA MARTINS JR;5;2;0;0;0;0;0;3.0
11;DENISE GOYA;3;1;0;0;0;0;0;8.0
12;DIOGO SANTANA MARTINS;5;2;0;0;0;0;0;2.5
13;FABRICIO OLIVETTI DE FRANÇA;1;0;0;0;0;0;0;14.0
14;FERNANDO TEUBL FERREIRA;5;2;0;1;0;0;0;2.0
15;FRANCISCO ISIDRO MASSETTO;2;2;1;0;0;0;0;10.0
16;FRANCISCO JAVIER ROPERO PELÁEZ;3;3;0;1;0;0;0;11.0
17;FRANCISCO ZAMPIROLLI;1;0;0;0;0;0;0;14.0
18;GORDANA MANIC;4;4;1;0;0;0;0;6.0
19;GUIOU KOBAYASHI;2;2;0;0;0;0;0;13.0
20;GUSTAVO SOUSA PAVANI;3;2;2;0;0;0;0;8.0
21;HARLEN COSTA BATAGELO;1;1;0;1;0;0;0;14.0
22;JAIR DONADELLI;4;4;0;1;0;0;0;4.5
