         12676021 function calls (12669118 primitive calls) in 26.655 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2965    0.009    0.000    0.013    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\ntpath.py:122(splitdrive)
      688    0.009    0.000    0.011    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:547(<listcomp>)
       21    0.009    0.000    5.086    0.242 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:72(twoPop)
     8414    0.009    0.000    0.009    0.000 {built-in method builtins.hasattr}
      582    0.009    0.000    0.203    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      613    0.008    0.000    0.097    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\textwrap.py:414(dedent)
      717    0.008    0.000    0.010    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:609(<listcomp>)
    25128    0.008    0.000    0.011    0.000 {built-in method builtins.isinstance}
      348    0.007    0.000    0.391    0.001 <frozen importlib._bootstrap_external>:793(get_code)
    24947    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
     5460    0.006    0.000    0.013    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:319(<listcomp>)
   258/87    0.006    0.000    0.017    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\sre_parse.py:475(_parse)
    10656    0.006    0.000    0.009    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\objects.py:109(addCand)
      592    0.006    0.000    2.250    0.004 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pytz\__init__.py:111(resource_exists)
      597    0.006    0.000    0.014    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\ntpath.py:75(join)
       49    0.006    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      544    0.006    0.000    0.007    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:581(<listcomp>)
    16380    0.006    0.000    0.006    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:361(<listcomp>)
      499    0.006    0.000    0.007    0.000 {method 'writerow' of '_csv.writer' objects}
      189    0.006    0.000    0.008    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:822(crossover)
     1383    0.006    0.000    0.013    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       50    0.006    0.000    0.006    0.000 {built-in method nt.listdir}
      601    0.006    0.000    0.013    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\ntpath.py:178(split)
     3771    0.005    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     3866    0.005    0.000    0.005    0.000 {method 'format' of 'str' objects}
     5328    0.005    0.000    0.005    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\objects.py:78(setInfVariables)
    19018    0.005    0.000    0.005    0.000 {method 'replace' of 'str' objects}
     1536    0.005    0.000    0.005    0.000 {built-in method _thread.allocate_lock}
     9365    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
     1383    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:78(acquire)
      696    0.005    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
    770/8    0.005    0.000    3.331    0.416 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     5795    0.005    0.000    0.005    0.000 {method 'join' of 'str' objects}
     3771    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
    414/2    0.004    0.000    3.325    1.663 <frozen importlib._bootstrap>:663(_load_unlocked)
      569    0.004    0.000    0.187    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     1383    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:103(release)
      156    0.004    0.000    0.338    0.002 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:275(calc_fitFeas)
      413    0.004    0.000    0.019    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      611    0.004    0.000    0.006    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\os.py:673(__getitem__)
     8218    0.004    0.000    0.004    0.000 {method 'upper' of 'str' objects}
     8001    0.003    0.000    0.003    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\objects.py:83(getList)
     7684    0.003    0.000    0.006    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\io\formats\format.py:301(len)
2669/1715    0.003    0.000    0.371    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      696    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
       20    0.003    0.000    0.179    0.009 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:517(offspringI)
     4074    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
   434/76    0.003    0.000    0.008    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\sre_compile.py:71(_compile)
    20331    0.003    0.000    0.003    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\objects.py:58(getFitness)
      551    0.003    0.000    0.095    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\util\_decorators.py:310(__call__)
      156    0.003    0.000    0.003    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:314(<listcomp>)
    348/2    0.002    0.000    3.325    1.663 <frozen importlib._bootstrap_external>:722(exec_module)
      400    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
      156    0.002    0.000    0.002    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:429(<listcomp>)
      156    0.002    0.000    0.003    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:328(<listcomp>)
      348    0.002    0.000    0.088    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      594    0.002    0.000    0.008    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\_collections_abc.py:657(get)
      413    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:318(__exit__)
     4095    0.002    0.000    0.002    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\sre_parse.py:233(__next)
       20    0.002    0.000    0.003    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:752(<listcomp>)
      348    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      606    0.002    0.000    0.034    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\re.py:271(_compile)
     1687    0.002    0.000    0.160    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     5328    0.002    0.000    0.002    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\objects.py:61(setFitness)
      413    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:307(__init__)
      190    0.002    0.000    0.003    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\sre_compile.py:276(_optimize_charset)
       21    0.002    0.000    0.341    0.016 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:105(calcFit)
       26    0.002    0.000    0.005    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\collections\__init__.py:316(namedtuple)
      703    0.002    0.000    0.007    0.000 {built-in method builtins.max}
      176    0.002    0.000    0.002    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\util\_decorators.py:257(__call__)
     7684    0.002    0.000    0.003    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\compat\__init__.py:291(strlen)
     1651    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
     3350    0.002    0.000    0.003    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\core\dtypes\generic.py:7(_check)
     8840    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
       24    0.002    0.000    0.002    0.000 {pandas._libs.lib.map_infer}
      156    0.002    0.000    0.004    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:313(<listcomp>)
       16    0.002    0.000    0.004    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\enum.py:135(__new__)
      400    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      766    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
      766    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:58(__init__)
       20    0.002    0.000    0.020    0.001 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:666(offspringF)
  413/411    0.002    0.000    0.123    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      400    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
        4    0.002    0.000    0.002    0.000 {built-in method nt.unlink}
     5264    0.002    0.000    0.002    0.000 {built-in method nt.fspath}
      344    0.002    0.000    0.005    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:793(mutationRand)
     3226    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
  523/182    0.001    0.000    0.002    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\sre_parse.py:174(getwidth)
     2106    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
     3419    0.001    0.000    0.003    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\sre_parse.py:254(get)
       50    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      593    0.001    0.000    2.251    0.004 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pytz\__init__.py:1098(<genexpr>)
      334    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FF9823E4BA0}
      613    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     2647    0.001    0.000    0.002    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\sre_parse.py:164(__getitem__)
       41    0.001    0.000    0.001    0.000 {pandas._libs.lib.maybe_convert_objects}
        1    0.001    0.001    1.135    1.135 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\ioData.py:28(startOutFolders)
      348    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
     2736    0.001    0.000    0.003    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\io\formats\format.py:1401(just)
       89    0.001    0.000    0.017    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\core\series.py:152(__init__)
      596    0.001    0.000    0.104    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\genericpath.py:16(exists)
      555    0.001    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      506    0.001    0.000    0.004    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\io\formats\printing.py:156(pprint_thing)
     2469    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      825    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(parent)
      770    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:147(__enter__)
        3    0.001    0.000    0.001    0.000 {method 'writelines' of '_io._IOBase' objects}
      468    0.001    0.000    0.001    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:345(<listcomp>)
      859    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      616    0.001    0.000    0.003    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\os.py:743(encodekey)
      499    0.001    0.000    0.001    0.000 {built-in method _codecs.charmap_encode}
   214/76    0.001    0.000    0.018    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\sre_parse.py:417(_parse_sub)
        2    0.001    0.001    0.001    0.001 {built-in method _ctypes.LoadLibrary}
     1951    0.001    0.000    0.001    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\objects.py:75(getInfVariables)
     1886    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:859(__exit__)
      569    0.001    0.000    0.188    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      596    0.001    0.000    0.014    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\ntpath.py:219(dirname)
     2800    0.001    0.000    0.003    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\io\formats\format.py:1392(<genexpr>)
        1    0.001    0.001    0.001    0.001 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\dateutil\tz\tz.py:1539(__init__)
      748    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:403(cached)
     1044    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
    752/8    0.001    0.000    3.327    0.416 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.001    0.001    0.362    0.362 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:17(start)
      506    0.001    0.000    0.001    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\io\formats\printing.py:185(as_escaped_unicode)
      304    0.001    0.000    2.252    0.007 {method 'extend' of 'list' objects}
      348    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
     4035    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
   558/80    0.001    0.000    2.931    0.037 {built-in method builtins.__import__}
       13    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
     1886    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
      702    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
      348    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
       82    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      770    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:151(__exit__)
        6    0.001    0.000    0.001    0.000 {built-in method nt.get_terminal_size}
      449    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
       60    0.001    0.000    0.009    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\core\internals\construction.py:537(sanitize_array)
      583    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
     3999    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
      619    0.001    0.000    0.001    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\os.py:737(check_str)
      602    0.001    0.000    0.003    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\core\dtypes\base.py:75(is_dtype)
      551    0.001    0.000    0.001    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\util\_decorators.py:303(__init__)
     4035    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      565    0.001    0.000    0.002    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\core\dtypes\common.py:1845(_is_dtype_type)
      784    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
       50    0.001    0.000    0.001    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\core\ops.py:1384(_wrap_inplace_method)
      348    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      487    0.001    0.000    0.002    0.000 {built-in method builtins.any}
       64    0.001    0.000    0.004    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\io\formats\format.py:1407(<listcomp>)
      156    0.001    0.000    0.001    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:324(<listcomp>)
     2308    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      258    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      470    0.001    0.000    0.006    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\io\formats\format.py:945(_format)
      468    0.001    0.000    0.001    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:396(<listcomp>)
      569    0.001    0.000    0.001    0.000 {built-in method _imp.is_frozen}
        8    0.001    0.000    0.008    0.001 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\io\formats\format.py:931(_format_strings)
     2562    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      413    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
      121    0.001    0.000    0.001    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\functools.py:37(update_wrapper)
      348    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      697    0.001    0.000    0.001    0.000 {method 'translate' of 'str' objects}
       10    0.001    0.000    0.029    0.003 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\core\ops.py:1293(_create_methods)
     2781    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
       76    0.001    0.000    0.030    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\sre_compile.py:759(compile)
       34    0.001    0.000    0.001    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\site-packages\pandas\core\groupby\base.py:95(whitelist_method_generator)
     1044    0.001    0.000    0.001    0.000 {built-in method from_bytes}
