Pop;Iter;Min;Max;Avg
Inf;0;-0.10870502046972635;-0.004901960784313725;-0.055386770092652374
Inf;1;-0.10870502046972635;-0.004901960784313725;-0.05428828336068146
Fea;1;0.38622372884753187;0.3943442232938891;0.3897200196719897
Inf;2;-0.10870502046972635;-0.004901960784313725;-0.048344604113834795
Fea;2;0.38622372884753187;0.40719749907715014;0.39453141660639074
Inf;3;-0.10870502046972635;-0.004901960784313725;-0.04225796827606776
Fea;3;0.38622372884753187;0.40867405869324464;0.39545259471497474
Inf;4;-0.1026179702650291;-0.004901960784313725;-0.03735807932640506
Fea;4;0.3844022912578605;0.4118794935684471;0.3954144791891006
Inf;5;-0.09771600948071536;-0.004901960784313725;-0.03054381515919973
Fea;5;0.3844022912578605;0.4118794935684471;0.3959667345907105
Inf;6;-0.09771600948071536;-0.004901960784313725;-0.02533812341504646
Fea;6;0.3878254316892683;0.4118794935684471;0.3974892213147839
Inf;7;-0.09044386985563457;-0.004901960784313725;-0.022846535063729596
Fea;7;0.39680066012675685;0.4118794935684471;0.40253463188564886
Inf;8;-0.11732385261797028;-0.004901960784313725;-0.020475113122171925
Fea;8;0.4004531289808853;0.4133435592185592;0.40631850637865524
Inf;9;-0.11732385261797028;-0.004901960784313725;-0.022507168547892503
Fea;9;0.4062990693415111;0.4139007297611949;0.40896992352433853
Inf;10;-0.11242189183365654;-0.004901960784313725;-0.02356960535693564
Fea;10;0.4087310141408979;0.4139007297611949;0.4102002486897329
Inf;11;-0.11242189183365654;-0.004901960784313725;-0.024827208990104894
Fea;11;0.40969629227361776;0.41613153661583896;0.4110749132401289
Inf;12;-0.09771600948071536;-0.004901960784313725;-0.023181343543334464
Fea;12;0.4104063413976205;0.41613153661583896;0.4121641093606008
Inf;13;-0.09653092006033183;-0.004901960784313725;-0.02310592876203733
Fea;13;0.41166073558224725;0.41613153661583896;0.4131628312169433
Inf;14;-0.09593837535014005;-0.004901960784313725;-0.02429723368637393
Fea;14;0.4128168306499701;0.41795360550302413;0.41396799150942504
Inf;15;-0.08613445378151259;-0.004901960784313725;-0.024485770639616773
Fea;15;0.4136651652610955;0.41795360550302413;0.4147472143482732
Inf;16;-0.08613445378151259;-0.004901960784313725;-0.02534019524969749
Fea;16;0.41441184655138147;0.4195506626680151;0.41552336487766817
Inf;17;-0.08613445378151259;-0.004901960784313725;-0.023939635025607853
Fea;17;0.4151192925291763;0.4195506626680151;0.4164036642674789
Inf;18;-0.08613445378151259;-0.004901960784313725;-0.02302346974292673
Fea;18;0.4158859677144561;0.4206493357848009;0.41735293092581927
Inf;19;-0.09162895927601811;-0.004901960784313725;-0.022548190873982694
Fea;19;0.4170402833385392;0.4249165306054841;0.4183668672086032
Inf;20;-0.11673130790777848;-0.004901960784313725;-0.022283410405582318
Fea;20;0.4179863569677524;0.4249165306054841;0.41908531433107116
Inf;21;-0.11791639732816205;-0.004901960784313725;-0.020467240150498046
Fea;21;0.4185866293267456;0.42607784119412023;0.42003375156619077
Inf;22;-0.11791639732816205;-0.004901960784313725;-0.02136061525201794
Fea;22;0.41941874770830795;0.42607784119412023;0.42113490694032163
Inf;23;-0.11673130790777848;-0.004901960784313725;-0.02176379427510647
Fea;23;0.4204915275293182;0.4278537484264229;0.4222638841203434
Inf;24;-0.11673130790777848;-0.004901960784313725;-0.02274957320206187
Fea;24;0.4217680511779349;0.4278537484264229;0.4233506586568628
Inf;25;-0.10633484162895929;-0.004901960784313725;-0.019287123133276952
Fea;25;0.4228807121005049;0.4278639707622266;0.4242490840179134
Inf;26;-0.09162895927601811;-0.004901960784313725;-0.022447914076873323
Fea;26;0.423702285015101;0.42812230835486637;0.42500012996291975
Inf;27;-0.11910148674854558;-0.004901960784313725;-0.02263520792932555
Fea;27;0.424483103567406;0.4295659293333711;0.4258575536165762
Inf;28;-0.11910148674854558;-0.004901960784313725;-0.023816568047337245
Fea;28;0.4254509316050014;0.42981858508990284;0.4267437187012145
Inf;29;-0.10751993104934282;-0.004901960784313725;-0.0251669898728722
Fea;29;0.42621944894037916;0.4305802498319941;0.4275023501435616
Inf;30;-0.10751993104934282;-0.004901960784313725;-0.02393673445709643
Fea;30;0.42710007477449335;0.43169621087353655;0.4282344360853087
Inf;31;-0.10751993104934282;-0.004901960784313725;-0.02069679942983109
Fea;31;0.42783113624102004;0.432393512602815;0.42894992779216634
Inf;32;-0.10751993104934282;-0.004901960784313725;-0.021179951270448985
Fea;32;0.4285090533927744;0.43298970194319036;0.42967563582036766
Inf;33;-0.07633053221288515;-0.004901960784313725;-0.01825203454162728
Fea;33;0.4292893583591258;0.4342281095304352;0.4303502704459316
Inf;34;-0.08063994828700712;-0.004901960784313725;-0.021628710655859956
Fea;34;0.42977895500279223;0.4357950232368838;0.43105924372638743
Inf;35;-0.0757379875026934;-0.004901960784313725;-0.023115873568362227
Fea;35;0.43056181200367255;0.4357950232368838;0.4317656133698876
Inf;36;-0.09162895927601811;-0.004901960784313725;-0.020015580196575653
Fea;36;0.43139740276949584;0.4357950232368838;0.4324495015324018
Inf;37;-0.09162895927601811;-0.004901960784313725;-0.019666268874413646
Fea;37;0.4320897104618035;0.4365486933393911;0.43322997228339977
Inf;38;-0.07455289808230985;-0.004901960784313725;-0.018984220907297806
Fea;38;0.4328482929645721;0.43975435858752354;0.4339682413054676
Inf;39;-0.08241758241758242;-0.004901960784313725;-0.01776308156398652
