         873356178 function calls (873349370 primitive calls) in 764.457 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   486102  211.639    0.000  419.500    0.001 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:172(calc_i2_i3)
160184778  115.138    0.000  115.138    0.000 {method 'index' of 'list' objects}
   995746   40.452    0.000   97.936    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:1135(rouletteWheel)
   575781   40.443    0.000  143.742    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:155(calc_i1)
  1255171   23.683    0.000   23.683    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:1162(<listcomp>)
 12466841   21.926    0.000   28.543    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:186(<listcomp>)
  1255171   20.060    0.000   20.060    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:1154(<listcomp>)
 12466841   19.465    0.000   26.740    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:185(<listcomp>)
 12466841   16.628    0.000   22.942    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:187(<listcomp>)
 12466841   16.484    0.000   23.200    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:188(<listcomp>)
150505486   15.766    0.000   15.766    0.000 {method 'append' of 'list' objects}
 40815511   15.336    0.000   15.336    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:194(<listcomp>)
 40815511   13.714    0.000   13.714    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:195(<listcomp>)
 40815511   13.046    0.000   13.046    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:196(<listcomp>)
     1805   12.712    0.007   13.669    0.008 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\ioData.py:223(outDataMMA)
     9028    9.503    0.001    9.567    0.001 {built-in method builtins.print}
106657453/106656577    9.345    0.000    9.346    0.000 {built-in method builtins.len}
 21378463    8.076    0.000    8.076    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:208(<listcomp>)
 21378463    7.513    0.000    7.513    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:209(<listcomp>)
   486102    7.381    0.000    7.381    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:251(<listcomp>)
 40815511    7.275    0.000    7.275    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:65(getTimeTableList)
 21378463    7.064    0.000    7.064    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:210(<listcomp>)
   486102    6.927    0.000    6.927    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:252(<listcomp>)
 40993962    6.742    0.000    6.742    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:59(getPeriod)
 41175598    6.671    0.000    6.671    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:57(getQuadri)
 40993962    6.340    0.000    6.340    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:61(getCampus)
   486102    6.155    0.000  556.274    0.001 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:125(calc_fitInfeas)
 13511791    3.611    0.000    3.611    0.000 {method 'count' of 'list' objects}
  2859246    3.574    0.000    5.416    0.000 C:\Users\luizf\AppData\Local\Programs\Python\Python37\lib\random.py:224(_randbelow)
   774881    3.250    0.000    3.250    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:71(__init__)
  2670489    3.190    0.000    8.256    0.000 C:\Users\luizf\AppData\Local\Programs\Python\Python37\lib\random.py:174(randrange)
