maxIter;numCand;numCandInit;randNewSol;convergDetect;stopFitValue;pctParentsCross;pctMut;pctElitism;w_alpha;w_beta;w_gamma;w_delta;w_omega;w_sigma;w_pi;w_rho
20;50;1000;100;500;0.9;100;90;100;1.0;3.0;2.0;3.0;2.0;1.5;1.0;1.3

Best solutions found:;[0, 1]
77;ENGENHARIA DE SOFTWARE;JAIR DONADELLI
78;BANCO DE DADOS;ANDRÉ LUIZ BRANDÃO
79;BANCO DE DADOS;ARITANAN GRUBER
80;BANCO DE DADOS;ANDRÉ BALAN
81;INTELIGÊNCIA ARTIFICIAL;MARCIO KATSUMI OIKAWA
82;INTELIGÊNCIA ARTIFICIAL;DENISE GOYA
83;INTELIGÊNCIA ARTIFICIAL;CARLOS DA SILVA DOS SANTOS
84;INTELIGÊNCIA ARTIFICIAL;JOAO PAULO GOIS
85;COMPUTADORES, ÉTICA E SOCIEDADE;DANIEL MORGATO MARTIN
86;COMPUTADORES, ÉTICA E SOCIEDADE;CLÁUDIA JOSIMAR ABRÃO DE ARAÚJO
87;MINERAÇÃO DE DADOS;MIRTHA L. F. VENERO
88;INTELIGÊNCIA ARTIFICIAL;ANDRÉ LUIZ BRANDÃO
89;INTELIGÊNCIA ARTIFICIAL;FRANCISCO JAVIER ROPERO PELÁEZ
90;COMPUTAÇÃO EVOLUTIVA E CONEXIONISTA;ANDRÉ LUIZ BRANDÃO
91;SISTEMAS MULTI-ROBÔS SOCIAIS;ALEXANDRE NOMA

pName;numSubjects;notPref;notPeriod;isSabbath;notCampus;numI2;numI3;difCharge
1;ALEXANDRE NOMA;2;1;1;1;0;0;0;12.0
2;ANDRÉ BALAN;1;1;1;0;0;0;0;16.0
3;ANDRÉ LUIZ BRANDÃO;7;6;0;1;0;0;0;0.5
4;ARITANAN GRUBER;4;3;0;1;0;0;0;5.0
5;CARLOS DA SILVA DOS SANTOS;1;1;0;0;0;0;0;15.5
6;CESAR GIACOMINI PENTEADO;4;2;0;2;0;0;0;3.0
7;CLÁUDIA JOSIMAR ABRÃO DE ARAÚJO;4;4;2;2;0;0;0;5.0
8;CRISTIANE SATO;2;1;0;0;0;0;0;12.0
9;DANIEL MORGATO MARTIN;4;2;0;0;0;0;0;6.0
10;DAVID CORREA MARTINS JR;3;2;0;1;0;0;0;8.0
11;DENISE GOYA;1;1;0;0;0;0;0;16.0
12;DIOGO SANTANA MARTINS;3;3;0;1;0;0;0;9.0
13;FABRICIO OLIVETTI DE FRANÇA;2;1;2;0;0;0;0;10.0
14;FERNANDO TEUBL FERREIRA;4;2;0;0;0;0;0;5.0
15;FRANCISCO ISIDRO MASSETTO;3;1;2;1;0;0;0;6.0
16;FRANCISCO JAVIER ROPERO PELÁEZ;2;2;0;1;0;0;0;15.0
17;FRANCISCO ZAMPIROLLI;4;4;2;1;0;0;0;6.5
18;GORDANA MANIC;1;1;0;0;0;0;0;14.0
19;GUIOU KOBAYASHI;1;1;0;0;0;0;0;14.0
20;GUSTAVO SOUSA PAVANI;1;0;0;0;0;0;0;14.0
21;HARLEN COSTA BATAGELO;4;4;1;1;0;0;0;6.0
22;JAIR DONADELLI;3;2;0;0;0;0;0;7.0
23;JERONIMO CORDONI PELLEGRINI;4;4;3;0;0;0;0;3.0
24;JOAO PAULO GOIS;3;3;0;0;0;0;0;8.0
25;JOSÉ ARTUR QUILICI-GONZALEZ;1;0;0;0;0;0;0;16.5
26;JULIANA;4;3;2;1;0;0;0;6.0
