Candidate;Population;Fitness
0;Infeasible;-0.37362637362637363
1;Infeasible;-0.3883861236802413
2;Infeasible;-0.3492781728075846
3;Infeasible;-0.40303813833225605
4;Infeasible;-0.39571213100624875
5;Infeasible;-0.37858220211161386
6;Infeasible;-0.3321482439129498
7;Infeasible;-0.4175824175824176
8;Infeasible;-0.36393018745959926
9;Infeasible;-0.3859082094376212
10;Infeasible;-0.37125619478560656
11;Infeasible;-0.36630036630036633
12;Infeasible;-0.42253824606765783
13;Infeasible;-0.3566041801335919
14;Infeasible;-0.46164619694031456
15;Infeasible;-0.3566041801335919
16;Infeasible;-0.41769015298427065
17;Infeasible;-0.32234432234432236
18;Infeasible;-0.3468002585649644
19;Infeasible;-0.3932342167636285
20;Infeasible;-0.39075630252100835
21;Infeasible;-0.3321482439129498
22;Infeasible;-0.46897220426632186
23;Infeasible;-0.3443223443223444
24;Infeasible;-0.36877828054298645
25;Infeasible;-0.358974358974359
26;Infeasible;-0.36393018745959926
27;Infeasible;-0.43234216763628525
28;Infeasible;-0.381060116354234
29;Infeasible;-0.3932342167636285
30;Infeasible;-0.41769015298427065
31;Infeasible;-0.40303813833225605
32;Infeasible;-0.3956043956043956
33;Infeasible;-0.4445162680456798
34;Infeasible;-0.40303813833225605
35;Infeasible;-0.42501616031027795
36;Infeasible;-0.37858220211161386
37;Infeasible;-0.30780004309416076
38;Infeasible;-0.4298642533936652
39;Infeasible;-0.39571213100624875
40;Infeasible;-0.3566041801335919
41;Infeasible;-0.5178840767076062
42;Infeasible;-0.4787761258349494
43;Infeasible;-0.36877828054298645
44;Infeasible;-0.3492781728075846
45;Infeasible;-0.3883861236802413
46;Infeasible;-0.427386339151045
47;Infeasible;-0.42253824606765783
48;Infeasible;-0.3859082094376212
49;Infeasible;-0.40303813833225605
50;Infeasible;-0.44699418228829996
51;Infeasible;-0.38095238095238093
52;Infeasible;-0.46164619694031456
53;Infeasible;-0.4102564102564103
54;Infeasible;-0.3932342167636285
55;Infeasible;-0.40551605257487616
56;Infeasible;-0.41521223874165053
57;Infeasible;-0.37125619478560656
58;Infeasible;-0.3566041801335919
59;Infeasible;-0.4348200818789054
60;Infeasible;-0.49590605472958416
61;Infeasible;-0.36145227321697915
62;Infeasible;-0.4640163757810816
63;Infeasible;-0.42253824606765783
64;Infeasible;-0.5350140056022409
65;Infeasible;-0.4739280327515621
66;Infeasible;-0.4299719887955182
67;Infeasible;-0.36145227321697915
68;Infeasible;-0.46164619694031456
69;Infeasible;-0.41284205990088346
70;Infeasible;-0.3468002585649644
71;Infeasible;-0.4592760180995475
72;Infeasible;-0.35412626589097185
73;Infeasible;-0.4200603318250377
74;Infeasible;-0.3932342167636285
75;Infeasible;-0.47629821159232916
76;Infeasible;-0.42016806722689076
77;Infeasible;-0.37125619478560656
78;Infeasible;-0.3419521654815772
79;Infeasible;-0.3932342167636285
80;Infeasible;-0.35412626589097185
81;Infeasible;-0.3566041801335919
82;Infeasible;-0.36877828054298645
83;Infeasible;-0.5177763413057531
84;Infeasible;-0.45916828269769444
85;Infeasible;-0.3273001508295626
86;Infeasible;-0.45916828269769444
87;Infeasible;-0.48125404007756956
88;Infeasible;-0.43234216763628525
89;Infeasible;-0.3394742512389571
90;Infeasible;-0.37858220211161386
91;Infeasible;-0.37362637362637363
92;Infeasible;-0.3248222365869425
93;Infeasible;-0.3688860159448395
94;Infeasible;-0.41521223874165053
95;Infeasible;-0.4175824175824176
96;Infeasible;-0.37362637362637363
97;Infeasible;-0.38343029519500105
98;Infeasible;-0.41769015298427065
99;Infeasible;-0.4175824175824176
