         578829570 function calls (578822763 primitive calls) in 442.780 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   322614  122.410    0.000  243.304    0.001 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:172(calc_i2_i3)
106191375   67.160    0.000   67.160    0.000 {method 'index' of 'list' objects}
   657134   24.053    0.000   57.643    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:1135(rouletteWheel)
   381293   23.804    0.000   84.289    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:155(calc_i1)
   826011   13.700    0.000   13.700    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:1162(<listcomp>)
  8266504   12.994    0.000   16.587    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:186(<listcomp>)
   826011   11.876    0.000   11.876    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:1154(<listcomp>)
  8266504   11.435    0.000   15.570    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:185(<listcomp>)
  8266504    9.317    0.000   12.814    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:187(<listcomp>)
  8266504    9.236    0.000   12.984    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:188(<listcomp>)
 99627535    9.098    0.000    9.098    0.000 {method 'append' of 'list' objects}
 27084839    8.938    0.000    8.938    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:194(<listcomp>)
 27084839    7.824    0.000    7.824    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:195(<listcomp>)
 27084839    7.415    0.000    7.415    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:196(<listcomp>)
     6004    5.771    0.001    5.846    0.001 {built-in method builtins.print}
70588688/70587812    5.275    0.000    5.275    0.000 {built-in method builtins.len}
   322614    4.972    0.000    4.972    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:251(<listcomp>)
   322614    4.915    0.000    4.915    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:252(<listcomp>)
 14116337    4.671    0.000    4.671    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:208(<listcomp>)
 14116337    4.249    0.000    4.249    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:209(<listcomp>)
 27084839    4.135    0.000    4.135    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:65(getTimeTableList)
 14116337    4.014    0.000    4.014    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:210(<listcomp>)
   322614    3.880    0.000  323.796    0.001 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:125(calc_fitInfeas)
 27202320    3.763    0.000    3.763    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:59(getPeriod)
 27322986    3.623    0.000    3.623    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:57(getQuadri)
