G;DBMCTB009-17SA;Cálculo Numérico;Q2;Diurno;SA;4
G;;Coordenador de Cálculo Numérico;Q2;;SA;1
G;NAMCZB005-17SA;Análise Numérica;Q3;Noturno;SA;4
G;DAMCTB009-17SB;Cálculo Numérico;Q3;Diurno;SB;4
G;DAMCTB001-13SB;Álgebra Linear;Q1;Diurno;SB;6
G;NA1BCN0405-15SB;Introdução às Equações Diferenciais Ordinárias;Q2;Noturno;SB;4
G;NAMCZB008-13SA;Formas Diferenciais;Q2;Noturno;SA;4
G;DABCN0405-15SB;Introdução às Equações Diferenciais Ordinárias;Q3;Diurno;SB;4
G;;Coord. De Introdução às Equações Diferenciais Ordinárias;Q3;Noturno;;1
G;DAMCTB009-13SB;Cálculo Numérico;Q1;Diurno;SB;4
G;NAMCTB009-13SB;Cálculo Numérico;Q1;Noturno;SB;4
G;NABIN0406-15SB;Introdução à Probabilidade e à Estatística;Q2;Noturno;SB;3
G;NBBIN0406-15SB;Introdução à Probabilidade e à Estatística;Q2;Noturno;SB;3
G;NAMCTB009-17SB;Cálculo Numérico;Q3;Noturno;SB;4
G;NB1BCM0506-15SA;Comunicação e Redes;Q2;Noturno;SA;3
G;DA1BIS0005-15SA;Bases Computacionais da Ciência;Q2;Diurno;SA;2
G;NB6BIS0005-15SA;Bases Computacionais da Ciência;Q2;Noturno;SA;2
G;DAMCTA027-17SA;Teoria dos Grafos;Q3;Diurno;SA;4
G;NA3BIS0003-15SA;Bases Matemáticas;Q2;Noturno;SA;4
G;NB3BIS0003-15SA;Bases Matemáticas;Q2;Noturno;SA;4
G;DAMCTB017-13SA;Geometria Diferencial II;Q2;Diurno;SA;4
G;;Coordenador de Bases Matemáticas;Q2;;;3
G;DB1BCN0402-15SA;Funções de Uma Variável;Q3;Diurno;SA;4
G;NB3BCN0402-15SA;Funções de Uma Variável;Q3;Noturno;SA;4
G;DSBCM0505-15SA;Processamento da Informação - EAD;Q1;Diurno;EAD;4
