G;NAMCTB001-17SB;Álgebra Linear;Q2;Noturno;SB;6;segunda das 19:00 às 21:00, Lab. A1-S206-SB, semanal/quarta das 21:00 às 23:00, Lab. A1-S206-SB, semanal/sexta das 19:00 às 21:00, Lab. A1-S206-SB, semanal ;0
G;DAMCTB024-13SA;Trabalho de Conclusão de Curso em Matemática I, II e III;Q2;Diurno;SA;1;sabado das 08:00 às 10:00, Lab. S - 501, semanal ;0
G;DAMCTB027-13SA;Trabalho de Conclusão de Curso em Matemática I, II e III;Q2;Diurno;SA;1;sabado das 12:00 às 14:00, Lab. S - 501, semanal ;0
G;DAMCTB024-13SA;Trabalho de Conclusão de Curso em Matemática I, II e III;Q3;Diurno;SA;2;sabado das 08:00 às 10:00, Lab. S - 501, semanal ;0
G;NAMCTB005-13SA;Análise Real I;Q2;Noturno;SA;4;terca das 19:00 às 21:00, Lab. S - 501, semanal/quinta das 21:00 às 23:00, Lab. S - 501, semanal ;0
G;NAMCTB026-17SA;Topologia;Q3;Noturno;SA;4;quarta das 21:00 às 23:00, sala S - 501, semanal/sexta das 19:00 às 21:00, sala S - 501, semanal ;0
PG;;Geometria Analítica;Q3;;;4;0;Terça das 14:00 às18:00, Lab. 407-2
PG;INF004D171;Estudo Dirigido;Q1;Noturno;SA;4;#N/D;#N/D
PG;INF304D171;Lógica e Sistemas Inteligentes;Q1;Noturno;SA;4;#N/D;#N/D
G;DB5BIS0005-15SA;Bases Computacionais da Ciência;Q2;Diurno;SA;2;0;segunda das 08:00 às 10:00, Lab. L603, semanal 
G;DAMCTA016-13SA;Paradigmas de Programação;Q2;Diurno;SA;4;segunda das 10:00 às 12:00, Lab. S - 308-2, semanal ;quinta das 08:00 às 10:00, Lab. 409-2, semanal 
PG;BIS202D172;Modelagem Molecular;Q2;;SA;3;#N/D;#N/D
PG;INF004M172;Estudo Dirigido;Q2;;SA;4;#N/D;#N/D
PG;INF009D172;Projeto e Comunicação de Pesquisa em Engenharia da Informaçã;Q2;;SA;4;#N/D;#N/D
PG;INF004D173;Estudo Dirigido;Q3;;SA;2;#N/D;#N/D
G;DB2BCM0505-15SA;Processamento da Informação;Q1;Diurno;SA;2;terca das 10:00 às 12:00, sala A - 104-0, semanal/sexta das 08:00 às 10:00, sala A - 104-0, quinzenal I;quinta das 08:00 às 10:00, sala 404-2, semanal 
G;DA1MCTA001-13SA;Algoritmos e Estruturas de Dados I;Q1;Diurno;SA;4;quarta das 08:00 às 10:00, sala S - 301-3, semanal ;sexta das 08:00 às 10:00, sala 407-2, semanal 
G;DA2MCTA001-13SA;Algoritmos e Estruturas de Dados I;Q1;Diurno;SA;4;quarta das 08:00 às 10:00, sala S - 301-3, semanal ;sexta das 10:00 às 12:00, sala 407-2, semanal 
G;DA1BCM0505-15SA;Processamento da Informação;Q2;Diurno;SA;1;terca das 08:00 às 10:00, sala A - 101-0, semanal/sexta das 10:00 às 12:00, sala A - 101-0, quinzenal I;quinta das 10:00 às 12:00, sala L501, semanal 
G;DA2BCM0505-15SA;Processamento da Informação;Q2;Diurno;SA;3;terca das 08:00 às 10:00, sala A - 101-0, semanal/sexta das 10:00 às 12:00, sala A - 101-0, quinzenal I;quinta das 10:00 às 12:00, sala 404-2, semanal 
