G;NAMCZC002-15SB;Bases Neurais da Motricidade;Q3;Noturno;SB;4;terca das 19:00 às 21:00, sala A1-S106-SB, semanal/quinta das 21:00 às 23:00, sala A1-S106-SB, semanal ;0
G;NA1BCM0505-15SA;Processamento da Informação;Q2;Noturno;SA;1,5;terca das 19:00 às 21:00, sala A - 101-0, semanal/sexta das 21:00 às 23:00, sala A - 101-0, quinzenal I;quinta das 21:00 às 23:00, sala L501, semanal 
G;NA2BCM0505-15SA;Processamento da Informação;Q2;Noturno;SA;1,5;terca das 19:00 às 21:00, sala A - 101-0, semanal/sexta das 21:00 às 23:00, sala A - 101-0, quinzenal I;quinta das 21:00 às 23:00, sala 404-2, semanal 
PG;CCM103M172;Otimização Combinatória;Q2;;SA;4;#N/D;#N/D
G;DAMCTA017-17SA;Programação Matemática;Q3;Diurno;SA;4;quarta das 10:00 às 12:00, sala S - 306-2, quinzenal I/sexta das 08:00 às 10:00, sala S - 306-2, semanal ;quarta das 10:00 às 12:00, lab. 409-2, quinzenal II
G;NA2BCN0402-15SA;Funções de Uma Variável;Q3;Noturno;SA;4;terca das 21:00 às 23:00, sala A - 102-0, semanal/quinta das 19:00 às 21:00, sala A - 102-0, semanal ;0
G;NB2BCN0402-15SA;Funções de Uma Variável;Q3;Noturno;SA;4;terca das 19:00 às 21:00, sala A - 105-0, semanal/quinta das 21:00 às 23:00, sala A - 105-0, semanal ;0
G;;Coordenador de Funções de Uma Variável;Q3;Noturno;;3;0;Terça das 14:00 às18:00, Lab. 407-2
PG;MAT313D173;Seminários do Programa de Matemática III, IV e VI;Q3;;SA;2;#N/D;#N/D
G;DAMCTC002-15SB;Introdução à Neurociência;Q3;Diurno;SB;4;quarta das 08:00 às 10:00, sala A2-S101-SB, semanal/sexta das 10:00 às 12:00, sala A2-S205-SB, semanal ;0
G;NAMCTC002-15SB;Introdução à Neurociência;Q3;Noturno;SB;2;quarta das 19:00 às 21:00, sala A2-S203-SB, semanal/sexta das 21:00 às 23:00, sala A2-S203-SB, semanal ;0
G;DAMCTB010-13SA;Cálculo Vetorial e Tensorial;Q1;Diurno;SA;4;segunda das 10:00 às 12:00, sala S - 213-0, semanal/quinta das 08:00 às 10:00, sala S - 213-0, semanal ;0
PG;;Recursos Computacionais no Ensino de Matemática;Q2;Noturno;SA;4;0;Terça das 14:00 às18:00, Lab. 407-2
G;DAMCTB021-17SA;Probabilidade;Q3;Diurno;SA;4;terca das 10:00 às 12:00, sala S - 502, semanal/quinta das 08:00 às 10:00, sala S - 502, semanal ;0
G;DA10BIS0005-15SA;Bases Computacionais da Ciência;Q2;Diurno;SA;2;0;segunda das 10:00 às 12:00, Lab. L502, semanal 
G;DB1BIS0005-15SA;Bases Computacionais da Ciência;Q2;Diurno;SA;2;0;segunda das 08:00 às 10:00, Lab. L502, semanal 
G;DAMCTA003-17SA;Análise de Algoritmos;Q2;Diurno;SA;4;quarta das 08:00 às 10:00, Lab. S - 311-2, semanal/sexta das 10:00 às 12:00, Lab. S - 311-2, semanal ;0
G;DSBCM0505-15SB;Processamento da Informação - EAD;Q3;Diurno;SB;3;"Aula Inaugural dia 08/02/17 das 17:00 às 19:00, sala A1-S206-SB; Primeira Prova dia 15/03/17 das 17:00 às 19:00, sala A1-S206-SB"; ECONTROS SERÁO BREVEMENTE PUBLICADOS
G;DBMCTA028-15SA;Programação Estruturada;Q3;Diurno;SA;4;quarta das 08:00 às 10:00, sala A - 110-0, semanal ;quarta das 10:00 às 12:00, lab. 407-2, semanal 
EX;;Programação em Python para Iniciantes;Q3;;SA;1;0;Terça das 14:00 às18:00, Lab. 407-2
G;NA2BIS0005-15SA;Bases Computacionais da Ciência;Q2;Noturno;SA;2;0;segunda das 21:00 às 23:00, Lab. L503, semanal 
G;NB2BIS0005-15SA;Bases Computacionais da Ciência;Q2;Noturno;SA;2;0;segunda das 19:00 às 21:00, Lab. L503, semanal 
PG;CCM203M172;Mineração de Dados;Q2;;SA;4;#N/D;#N/D
G;;Coordenador de Natureza da Informação;Q3;Noturno;;3;0;Terça das 14:00 às18:00, Lab. 407-2
G;DA7BCM0505-15SA;Processamento da Informação;Q1;Diurno;SA;2;terca das 08:00 às 10:00, sala A - 103-0, semanal/sexta das 10:00 às 12:00, sala A - 103-0, quinzenal I;quinta das 10:00 às 12:00, sala L603, semanal 
G;NA3BIS0005-15SB;Bases Computacionais da Ciência;Q1;Noturno;SB;2;0;terca das 21:00 às 23:00, sala A2-L001-SB, semanal 
G;NB1BIS0005-15SB;Bases Computacionais da Ciência;Q1;Noturno;SB;2;0;terca das 19:00 às 21:00, sala A1-L002-SB, semanal 
PG;BTC208D171;Empreendedorismo, Gestão da Inovação e Propriedade Intelectual;Q1;Noturno;SA;0,75;#N/D;#N/D
PG;CCM105D171;Teoria dos Grafos;Q1;Noturno;SA;4;#N/D;#N/D
G;NA1BCM0505-15SB;Processamento da Informação;Q2;Noturno;SB;2;terca das 19:00 às 21:00, sala A2-S105-SB, semanal/sexta das 21:00 às 23:00, sala A2-S105-SB, quinzenal I;quinta das 21:00 às 23:00, sala A2-L003-SB, semanal 
G;NA1MCTA016-13SA;Paradigmas de Programação;Q2;Noturno;SA;2;segunda das 21:00 às 23:00, Lab. S - 301-1, semanal ;quinta das 19:00 às 21:00, Lab. 409-2, quinzenal II e Lab. de aula 311-2 quinzenal I
G;NAMCTA016-13SA;Paradigmas de Programação;Q2;Noturno;SA;2;segunda das 21:00 às 23:00, Lab. S - 301-1, semanal ;quinta das 19:00 às 21:00, Lab. 407-2, quinzenal II e Lab. de aula 311-2 quinzenal I 
G;NA1MCZA015-13SA;Mineração de Dados;Q2;Noturno;SA;3;terca das 21:00 às 23:00, Lab. S - 302-3, semanal ;sexta das 19:00 às 21:00, Lab. 408-2, quinzenal II e Lab. de aula 311-3, quinzenal I 
G;NAMCZA015-13SA;Mineração de Dados;Q2;Noturno;SA;1;terca das 21:00 às 23:00, Lab. S - 302-3, semanal ;sexta das 19:00 às 21:00, Lab. 409-2, quinzenal II e Lab. de aula 311-3, quinzenal I
PG;CCM001D171;Análise de Algoritmos e Estrutura de Dados;Q1;Noturno;SA;4;#N/D;#N/D
G;DAMCTA023-13SA;Segurança de Dados;Q1;Diurno;SA;4;segunda das 08:00 às 10:00, sala S - 307-2, semanal ;quarta das 10:00 às 12:00, sala 407-2, semanal 
G;NAMCTA023-13SA;Segurança de Dados;Q1;Noturno;SA;4;segunda das 19:00 às 21:00, sala S - 209-0, semanal ;quarta das 21:00 às 23:00, sala 407-2, semanal 
G;DSBCM0505-15SB;Processamento da Informação - EAD;Q3;Diurno;SB;2;"Aula Inaugural dia 08/02/17 das 17:00 às 19:00, sala A1-S206-SB; Primeira Prova dia 15/03/17 das 17:00 às 19:00, sala A1-S206-SB"; ECONTROS SERÁO BREVEMENTE PUBLICADOS
G;;Coordenadora de Processamento da Informação - EAD;Q3;Noturno;;2;0;Terça das 14:00 às18:00, Lab. 407-2
G;NA1MCTA002-17SA;Algoritmos e Estruturas de Dados II;Q3;Noturno;SA;2;terca das 21:00 às 23:00, sala S - 302-1, semanal ;quinta das 19:00 às 21:00, lab. 408-2, semanal 
G;NAMCTA002-17SA;Algoritmos e Estruturas de Dados II;Q3;Noturno;SA;2;terca das 21:00 às 23:00, sala S - 302-1, semanal ;quinta das 19:00 às 21:00, lab. 409-2, semanal 
EX;;Software Livre (Curso especialização TSI);Q3;;;4,75;0;Terça das 14:00 às18:00, Lab. 407-2
G;NB3BCM0505-15SA;Processamento da Informação;Q1;Noturno;SA;2;terca das 21:00 às 23:00, sala A - 104-0, semanal/sexta das 19:00 às 21:00, sala A - 104-0, quinzenal I;quinta das 19:00 às 21:00, sala L503, semanal 
G;DAMCZA029-13SA;Sistemas Multimídia;Q1;Diurno;SA;4;0;terca das 08:00 às 10:00, sala 407-2, semanal/quinta das 10:00 às 12:00, sala 407-2, semanal 
G;NAMCZA031-13SA;Web Semântica;Q1;Noturno;SA;4;0;terca das 19:00 às 21:00, sala 407-2, semanal/quinta das 21:00 às 23:00, sala 407-2, semanal 
G;DA7BIS0005-15SA;Bases Computacionais da Ciência;Q2;Diurno;SA;2;0;segunda das 10:00 às 12:00, Lab. L506, semanal 
G;DB7BIS0005-15SA;Bases Computacionais da Ciência;Q2;Diurno;SA;2;0;segunda das 08:00 às 10:00, Lab. L506, semanal 
G;NA8BIS0005-15SA;Bases Computacionais da Ciência;Q2;Noturno;SA;2;0;segunda das 21:00 às 23:00, Lab. 402-2, semanal 
G;NB8BIS0005-15SA;Bases Computacionais da Ciência;Q2;Noturno;SA;2;0;segunda das 19:00 às 21:00, Lab. 402-2, semanal 
G;NBMCTB001-13SA;Álgebra Linear;Q1;Noturno;SA;6;segunda das 21:00 às 23:00, sala S - 214-0, semanal/quarta das 19:00 às 21:00, sala S - 208-0, semanal/sexta das 21:00 às 23:00, sala S - 214-0, semanal ;0
G;;Coordenador de Álgebra Linear;Q1;Noturno;SA;1;0;Terça das 14:00 às18:00, Lab. 407-2
G;NAMCTB001-17SA;Álgebra Linear;Q3;Noturno;SA;6;segunda das 19:00 às 21:00, Lab. S - 212-0, semanal/quarta das 21:00 às 23:00, Lab. S - 212-0, semanal/sexta das 19:00 às 21:00, Lab. S - 208-0, semanal ;0
G;NBMCTB001-17SA;Álgebra Linear;Q3;Noturno;SA;6;segunda das 21:00 às 23:00, Lab. S - 211-0, semanal/quarta das 19:00 às 21:00, Lab. A - 104-0, semanal/sexta das 21:00 às 23:00, Lab. S - 205-0, semanal ;0
G;NA2BCN0407-15SA;Funções de Várias Variáveis;Q1;Noturno;SA;4;segunda das 21:00 às 23:00, sala A - 102-0, semanal/quinta das 19:00 às 21:00, sala A - 102-0, semanal ;0
G;NB2BCN0407-15SA;Funções de Várias Variáveis;Q1;Noturno;SA;4;segunda das 19:00 às 21:00, sala A - 207-0, semanal/quinta das 21:00 às 23:00, sala A - 207-0, semanal ;0
G;DABCN0407-15SA;Funções de Várias Variáveis;Q2;Diurno;SA;4;terca das 16:00 às 18:00, Lab. S - 213-0, semanal/sexta das 14:00 às 16:00, Lab. S - 213-0, semanal ;0
G;DBBCN0407-15SA;Funções de Várias Variáveis;Q2;Diurno;SA;4;terca das 14:00 às 16:00, Lab. A - 103-0, semanal/sexta das 16:00 às 18:00, Lab. A - 103-0, semanal ;0
G;;Coordenador de Funções de Várias Variáveis;Q2;;SA;1;0;Terça das 14:00 às18:00, Lab. 407-2
G;NA2BIS0003-15SA;Bases Matemáticas;Q3;Noturno;SA;4;terca das 21:00 às 23:00, Lab. A - 102-0, semanal/sexta das 19:00 às 21:00, Lab. A - 102-0, semanal ;0
G;NBBIS0003-15SA;Bases Matemáticas;Q3;Noturno;SA;4;terca das 19:00 às 21:00, sala A - 107-0, semanal/sexta das 21:00 às 23:00, sala A - 107-0, semanal ;0
G;DAMCZB029-13SA;Teoria Aritmética dos Números II;Q1;Diurno;SA;4;segunda das 10:00 às 12:00, sala S - 501, semanal/quinta das 08:00 às 10:00, sala S - 501, semanal ;0
G;NA4BIN0406-15SA;Introdução à Probabilidade e à Estatística;Q2;Noturno;SA;3;terca das 21:00 às 23:00, Lab. S - 206-0, quinzenal II/quarta das 19:00 às 21:00, Lab. A - 101-0, semanal ;0
G;NB3BIN0406-15SA;Introdução à Probabilidade e à Estatística;Q2;Noturno;SA;3;terca das 19:00 às 21:00, Lab. S - 212-0, quinzenal II/quarta das 21:00 às 23:00, Lab. A - 102-0, semanal ;0
G;NAMCTB023-17SA;Teoria Aritmética dos Números;Q2;Noturno;SA;4;segunda das 21:00 às 23:00, Lab. S - 501, semanal/quinta das 19:00 às 21:00, Lab. S - 501, semanal ;0
G;DAMCTB016-13SA;Geometria Diferencial I;Q1;Diurno;SA;4;terca das 10:00 às 12:00, sala S - 502, semanal/quinta das 08:00 às 10:00, sala S - 502, semanal ;0
G;DA2BIS0003-15SB;Bases Matemáticas;Q2;Diurno;SB;4;terca das 10:00 às 12:00, Lab. A2-S105-SB, semanal/sexta das 08:00 às 10:00, Lab. A2-S105-SB, semanal ;0
G;DCBIS0003-15SB;Bases Matemáticas;Q2;Diurno;SB;4;terca das 17:00 às 19:00, Lab. B-A004-SB, semanal/sexta das 17:00 às 19:00, Lab. B-A004-SB, semanal ;0
G;NA1BIS0003-15SB;Bases Matemáticas;Q3;Noturno;SB;4;terca das 21:00 às 23:00, Lab. A2-S102-SB, semanal/sexta das 19:00 às 21:00, Lab. A2-S102-SB, semanal ;0
G;NB1BIS0003-15SB;Bases Matemáticas;Q3;Noturno;SB;4;terca das 19:00 às 21:00, sala A1-S204-SB, semanal/sexta das 21:00 às 23:00, sala A1-S204-SB, semanal ;0
PG;BTC206D171;Biologia Molecular e Biotecnologia;Q1;Noturno;SA;2;#N/D;#N/D
G;DANHT1002-15SB;Bioética;Q1;Diurno;SB;2;segunda das 10:00 às 12:00, sala A1-S105-SB, semanal ;0
G;NANHT1002-15SB;Bioética;Q1;Noturno;SB;2;segunda das 21:00 às 23:00, sala A1-S105-SB, semanal ;0
G;DFBCS0001-15SA;Base Experimental das Ciências Naturais;Q2;Diurno;SA;3;0;quinta das 14:00 às 16:00, Lab. L605, quinzenal I/quinta das 14:00 às 18:00, Lab. L605, quinzenal II
G;NB4BCS0001-15SA;Base Experimental das Ciências Naturais;Q2;Noturno;SA;3;0;quarta das 19:00 às 21:00, Lab. 501-1, quinzenal I/quarta das 19:00 às 23:00, Lab. 501-1, quinzenal II
G;ND4BCS0001-15SA;Base Experimental das Ciências Naturais;Q2;Noturno;SA;3;0;quinta das 19:00 às 21:00, Lab. 501-1, quinzenal I/quinta das 19:00 às 23:00, Lab. 501-1, quinzenal II
G;NE1BCS0001-15SB;Base Experimental das Ciências Naturais;Q2;Noturno;SB;3;0;sabado das 08:00 às 10:00, Lab. A1-L301-SB, quinzenal I/sabado das 08:00 às 12:00, Lab. A1-L301-SB, quinzenal II
G;;Coordenadora de Base Experimental das Ciências Naturais;Q2;;SA;1;0;Terça das 14:00 às18:00, Lab. 407-2
G;NAMCTB014-13SA;Extensões Algébricas;Q1;Noturno;SA;4;quarta das 21:00 às 23:00, sala S - 502, semanal/sexta das 19:00 às 21:00, sala S - 502, semanal ;0
G;NA4BIS0003-15SA;Bases Matemáticas;Q2;Noturno;SA;4;terca das 21:00 às 23:00, Lab. A - 104-0, semanal/sexta das 19:00 às 21:00, Lab. A - 104-0, semanal ;0
G;NB4BIS0003-15SA;Bases Matemáticas;Q2;Noturno;SA;4;terca das 19:00 às 21:00, Lab. A - 108-0, semanal/sexta das 21:00 às 23:00, Lab. A - 108-0, semanal ;0
G;NA1BCN0402-15SA;Funções de Uma Variável;Q3;Noturno;SA;4;segunda das 21:00 às 23:00, sala S - 205-0, semanal/quinta das 19:00 às 21:00, sala S - 205-0, semanal ;0
G;NB1BCN0402-15SA;Funções de Uma Variável;Q3;Noturno;SA;4;terca das 19:00 às 21:00, sala A - 104-0, semanal/quinta das 21:00 às 23:00, sala A - 104-0, semanal ;0
G;DA3BIN0406-15SA;Introdução à Probabilidade e à Estatística;Q2;Diurno;SA;3;terca das 10:00 às 12:00, Lab. S - 205-0, quinzenal II/quarta das 08:00 às 10:00, Lab. S - 205-0, semanal ;0
G;DAMCTB020-17SA;Teoria da Medida e Integração;Q2;Diurno;SA;4;terca das 08:00 às 10:00, Lab. S - 502, semanal/sexta das 10:00 às 12:00, Lab. S - 502, semanal ;0
G;DDBIS0003-15SB;Bases Matemáticas;Q3;Diurno;SB;4;terca das 14:00 às 16:00, sala A2-S101-SB, semanal/sexta das 14:00 às 16:00, sala A2-S101-SB, semanal ;0
G;DAMCTD011-13SA;Práticas de Ensino de Matemática no Ensino Fundamental;Q1;Diurno;SA;4;0;segunda das 08:00 às 10:00, sala 401-2, semanal/quarta das 10:00 às 12:00, sala 401-2, semanal 
G;;Estágio Supervisionado em Matemática - Ensino Médio;Q1;Noturno;SA;2;0;Terça das 14:00 às18:00, Lab. 407-2
PG;ENS255M171;Tendências em Educação Matemática;Q1;Noturno;SA;4;#N/D;#N/D
G;DAMCTD010-13SA;História da Matemática;Q2;Diurno;SA;4;terca das 08:00 às 10:00, Lab. A - 110-0, semanal/quinta das 10:00 às 12:00, Lab. A - 110-0, semanal ;0
G;;Estágio Supervisionado em Matemática - Ensino Fundamental;Q2;;SA;2;0;Terça das 14:00 às18:00, Lab. 407-2
G;;Estágio Supervisionado em Matemática - Ensino Médio;Q2;;SA;2;0;Terça das 14:00 às18:00, Lab. 407-2
G;NAMCTB016-13SA;Geometria Diferencial I;Q1;Noturno;SA;4;terca das 21:00 às 23:00, sala S - 502, semanal/quinta das 19:00 às 21:00, sala S - 502, semanal ;0
G;DABCN0407-15SB;Funções de Várias Variáveis;Q2;Diurno;SB;4;segunda das 10:00 às 12:00, sala A2-S201-SB, semanal/quinta das 08:00 às 10:00, sala A2-S201-SB, semanal ;0
G;NABCN0407-15SB;Funções de Várias Variáveis;Q2;Noturno;SB;4;segunda das 21:00 às 23:00, sala A2-S201-SB, semanal/quinta das 19:00 às 21:00, sala A2-S201-SB, semanal ;0
G;NBBCN0407-15SB;Funções de Várias Variáveis;Q2;Noturno;SB;4;segunda das 19:00 às 21:00, sala A2-S201-SB, semanal/quinta das 21:00 às 23:00, sala A2-S201-SB, semanal ;0
G;NAMCZB009-13SA;Geometria Não Euclidiana;Q3;Noturno;SA;4;segunda das 19:00 às 21:00, sala S - 501, semanal/sexta das 21:00 às 23:00, sala S - 501, semanal ;0
G;DAMCZC013-15SB;Memória e Aprendizagem;Q1;Diurno;SB;3;segunda das 08:00 às 10:00, sala A1-S106-SB, semanal/quinta das 10:00 às 12:00, sala A1-S106-SB, semanal ;0
G;DAMCTC021-15SB;Introdução à Neurociência Computacional;Q2;Diurno;SB;4;0;terca das 08:00 às 10:00, Lab. A1-L002-SB, semanal/quinta das 10:00 às 12:00, Lab. A1-L002-SB, semanal 
G;NAMCTC021-15SB;Introdução à Neurociência Computacional;Q2;Noturno;SB;4;0;terca das 19:00 às 21:00, Lab. A1-L101-SB, semanal/quinta das 21:00 às 23:00, Lab. A1-L101-SB, semanal 
G;NAMCTC024-15SB;Neuroetologia;Q3;Noturno;SB;4;terca das 21:00 às 23:00, sala A1-S105-SB, semanal/quinta das 19:00 às 21:00, sala A1-S105-SB, semanal ;0
G;DA9BCM0505-15SA;Processamento da Informação;Q1;Diurno;SA;2;terca das 08:00 às 10:00, sala A - 103-0, semanal/sexta das 10:00 às 12:00, sala A - 103-0, quinzenal I;quinta das 10:00 às 12:00, sala 402-2, semanal 
G;DB1BCM0505-15SA;Processamento da Informação;Q1;Diurno;SA;3;terca das 10:00 às 12:00, sala A - 104-0, semanal/sexta das 08:00 às 10:00, sala A - 104-0, quinzenal I;quinta das 08:00 às 10:00, sala L501, semanal 
G;DB2BCM0505-15SA;Processamento da Informação;Q1;Diurno;SA;1;terca das 10:00 às 12:00, sala A - 104-0, semanal/sexta das 08:00 às 10:00, sala A - 104-0, quinzenal I;quinta das 08:00 às 10:00, sala 404-2, semanal 
G;DB3BCM0505-15SA;Processamento da Informação;Q1;Diurno;SA;1;terca das 10:00 às 12:00, sala A - 104-0, semanal/sexta das 08:00 às 10:00, sala A - 104-0, quinzenal I;quinta das 08:00 às 10:00, sala L503, semanal 
G;DA2BCM0506-15SA;Comunicação e Redes;Q2;Diurno;SA;3;segunda das 08:00 às 10:00, Lab. S - 208-0, semanal/terca das 10:00 às 12:00, Lab. S - 208-0, quinzenal I;0
G;;Coordenador de Comunicação e Redes;Q2;;SA;2;0;Terça das 14:00 às18:00, Lab. 407-2
PG;CCM-206D173;Inteligência na Web e Big Data;Q3;;SA;2;#N/D;#N/D
PG;CCM206M173;Inteligência na Web e Big Data;Q3;;SA;2;#N/D;#N/D
G;DA1MCTA028-15SA;Programação Estruturada;Q3;Diurno;SA;3;quarta das 10:00 às 12:00, sala A - 103-0, semanal ;sexta das 08:00 às 10:00, lab. 407-2, semanal 
G;DA2MCTA028-15SA;Programação Estruturada;Q3;Diurno;SA;3;quarta das 10:00 às 12:00, sala A - 103-0, semanal ;sexta das 10:00 às 12:00, lab. 407-2, semanal 
G;DAMCZB014-13SA;Introdução à Análise Funcional;Q1;Diurno;SA;4;terca das 10:00 às 12:00, sala S - 501, semanal/quinta das 08:00 às 10:00, sala L604, semanal ;0
G;NAMCZB014-13SA;Introdução à Análise Funcional;Q1;Noturno;SA;4;terca das 21:00 às 23:00, sala S - 501, semanal/quinta das 19:00 às 21:00, sala S - 501, semanal ;0
G;NAMCTB009-17SA;Cálculo Numérico;Q3;Noturno;SA;4;quarta das 19:00 às 21:00, Lab. A - 105-0, semanal/sexta das 21:00 às 23:00, Lab. S - 211-0, semanal ;0
G;NBMCTB009-17SA;Cálculo Numérico;Q3;Noturno;SA;4;quarta das 21:00 às 23:00, Lab. A - 105-0, semanal/sexta das 19:00 às 21:00, Lab. S - 207-0, semanal ;0
G;;Coordenador de Cálculo Numérico;Q3;Noturno;;1;0;Terça das 14:00 às18:00, Lab. 407-2
G;DAMCTC019-15SB;Neurobiologia Molecular e Celular;Q1;Diurno;SB;4;segunda das 08:00 às 10:00, sala A1-S105-SB, semanal/quinta das 10:00 às 12:00, sala A1-S105-SB, semanal ;quarta das 08:00 às 10:00, sala A1-L305-SB, semanal 
G;NAMCTC019-15SB;Neurobiologia Molecular e Celular;Q1;Noturno;SB;2;segunda das 19:00 às 21:00, sala A1-S105-SB, semanal/quinta das 21:00 às 23:00, sala A1-S105-SB, semanal ;quarta das 19:00 às 21:00, sala A1-L305-SB, semanal 
PG;NCG001M171;Neurociência;Q1;Noturno;SB;3;#N/D;#N/D
PG;;Seminários em Neurociência e Cognição III;Q1;Noturno;SB;2;0;Terça das 14:00 às18:00, Lab. 407-2
G;DAMCTC009-15SB;Progressos e Métodos em Neurociência;Q2;Diurno;SB;4;terca das 10:00 às 12:00, Lab. A1-S106-SB, semanal/quinta das 08:00 às 10:00, Lab. A1-S106-SB, semanal ;0
G;NAMCTC009-15SB;Progressos e Métodos em Neurociência;Q2;Noturno;SB;4;terca das 21:00 às 23:00, Lab. A1-S106-SB, semanal/quinta das 19:00 às 21:00, Lab. A1-S106-SB, semanal ;0
PG;NCG405M172;Seminários em Neurociência e Cognição IV;Q2;;SB;2;#N/D;#N/D
PG;NCG406D173;Seminários em Neurociência e Cognição V;Q3;;SB;2;#N/D;#N/D
G;NANHT1058-14SB;Morfofisiologia Humana I;Q3;Noturno;SB;6;quarta das 19:00 às 21:00, sala A1-S106-SB, semanal ;segunda das 19:00 às 23:00, lab. A1-L301-SB, semanal 
G;DA2BCM0505-15SB;Processamento da Informação;Q1;Diurno;SB;2;terca das 08:00 às 10:00, sala A2-S105-SB, semanal/sexta das 10:00 às 12:00, sala A2-S105-SB, quinzenal I;quinta das 10:00 às 12:00, sala A1-L002-SB, semanal 
G;NA3BCM0505-15SB;Processamento da Informação;Q1;Noturno;SB;2;terca das 19:00 às 21:00, sala A2-S102-SB, semanal/sexta das 21:00 às 23:00, sala A2-S102-SB, quinzenal I;quinta das 21:00 às 23:00, sala A1-L101-SB, semanal 
G;NB1BCM0505-15SB;Processamento da Informação;Q1;Noturno;SB;2;terca das 21:00 às 23:00, sala A2-S105-SB, semanal/sexta das 19:00 às 21:00, sala A2-S105-SB, quinzenal I;quinta das 19:00 às 21:00, sala A2-L003-SB, semanal 
EX;;Produção de Vídeos NTE;Q1;Noturno;SA;2;0;Terça das 14:00 às18:00, Lab. 407-2
G;DABIS0005-15SA;Bases Computacionais da Ciência;Q3;Diurno;SA;2;0;quarta das 16:00 às 18:00, sala 402-2, semanal 
G;NABIS0005-15SA;Bases Computacionais da Ciência;Q3;Noturno;SA;2;0;quarta das 21:00 às 23:00, sala 402-2, semanal 
G;DAMCTA002-17SA;Algoritmos e Estruturas de Dados II;Q3;Diurno;SA;4;terca das 10:00 às 12:00, sala S - 308-2, semanal ;quinta das 08:00 às 10:00, lab. 407-2, semanal 
G;NA1MCTA002-17SA;Algoritmos e Estruturas de Dados II;Q3;Noturno;SA;2;terca das 21:00 às 23:00, sala S - 302-1, semanal ;quinta das 19:00 às 21:00, lab. 408-2, semanal 
PG;MAT297HM171;Tópicos em Matemática I - Uma Introdução à Teoria de Anéis e;Q1;Noturno;SA;4;#N/D;#N/D
PG;MAT214D173;Corpos Finitos;Q3;;SA;2;#N/D;#N/D
PG;MAT214M173;Corpos Finitos;Q3;;SA;2;#N/D;#N/D
G;DSBCM0505-15SA;Processamento da Informação - EAD;Q1;Diurno;EAD;4;"Aula Inaugural dia 08/02/17 das 17:00 às 19:00, salas 205-0 e 207-0; Primeira Prova dia 15/03/17 das 17:00 às 19:00, salas 205-0 e 207-0 "; ECONTROS SERÁO BREVEMENTE PUBLICADOS
G;NAMCTA010-15SA;Engenharia de Software;Q1;Noturno;SA;4;terca das 21:00 às 23:00, sala A - 102-0, semanal/sexta das 19:00 às 21:00, sala A - 102-0, semanal ;0
G;DSBCM0505-15SA;Processamento da Informação - EAD;Q2;Diurno;SA;4;"Aula Inaugural dia 08/02/17 das 17:00 às 19:00, salas 205-0 e 207-0; Primeira Prova dia 15/03/17 das 17:00 às 19:00, salas 205-0 e 207-0 "; ECONTROS SERÁO BREVEMENTE PUBLICADOS
G;NA7BCM0505-15SA;Processamento da Informação;Q1;Noturno;SA;2;terca das 19:00 às 21:00, sala A - 103-0, semanal/sexta das 21:00 às 23:00, sala A - 103-0, quinzenal I;quinta das 21:00 às 23:00, sala L603, semanal 
G;NA1MCTA026-13SA;Sistemas Operacionais;Q1;Noturno;SA;1,5;segunda das 21:00 às 23:00, sala S - 212-0, semanal ;quinta das 19:00 às 21:00, sala 409-2, semanal 
G;NAMCTA026-13SA;Sistemas Operacionais;Q1;Noturno;SA;2,5;segunda das 21:00 às 23:00, sala S - 212-0, semanal ;quinta das 19:00 às 21:00, sala 407-2, semanal 
G;NAMCTA007-17SA;Compiladores;Q2;Noturno;SA;4;segunda das 19:00 às 21:00, Lab. S - 308-2, semanal ;quarta das 21:00 às 23:00, Lab. 407-2, semanal 
G;NA1MCTA025-13SA;Sistemas Distribuídos;Q2;Noturno;SA;3;quarta das 19:00 às 21:00, Lab. S - 302-2, semanal ;sexta das 19:00 às 21:00, Lab. 407-2, semanal 
G;NA2MCTA025-13SA;Sistemas Distribuídos;Q2;Noturno;SA;3;quarta das 19:00 às 21:00, Lab. S - 302-2, semanal ;sexta das 21:00 às 23:00, Lab. 407-2, semanal 
EX;;Modelagem de Dados e Aplicações;Q3;;SA;4,75;0;Terça das 14:00 às18:00, Lab. 407-2
PG;CCM101M171;Computação Bioinspirada;Q1;Noturno;SA;4;#N/D;#N/D
G;NAMCTA006-13SA;Circuitos Digitais;Q1;Noturno;SA;4;segunda das 21:00 às 23:00, sala A - 113-0, semanal/quinta das 19:00 às 21:00, sala A - 113-0, semanal ;0
G;DAMCZA030-13SA;Vida Artificial na Computação;Q1;Diurno;SA;2;quarta das 08:00 às 10:00, sala S - 207-0, semanal ;0
G;NAMCZA030-13SA;Vida Artificial na Computação;Q1;Noturno;SA;2;quarta das 19:00 às 21:00, sala S - 204-0, semanal ;0
G;DA1BCM0504-15SA;Natureza da Informação;Q3;Diurno;SA;3;segunda das 08:00 às 10:00, sala A - 102-0, quinzenal II/quinta das 10:00 às 12:00, sala A - 102-0, semanal ;0
G;NB2BCM0504-15SA;Natureza da Informação;Q3;Noturno;SA;3;segunda das 21:00 às 23:00, sala A - 105-0, quinzenal II/quinta das 19:00 às 21:00, sala A - 105-0, semanal ;0
G;DAMCTD013-13SA;Práticas de Ensino de Matemática III;Q1;Diurno;SA;3;0;terca das 08:30 às 10:00, sala 401-2, semanal/quinta das 10:00 às 11:30, sala 401-2, semanal 
