Pop;Iter;Min;Max;Avg
Inf;1;-0.06334841628959276;-0.0031397174254317113;-0.03544340813248376
Inf;2;-0.06334841628959276;-0.0020931449502878076;-0.03632068211900145
Inf;3;-0.06334841628959276;-0.0020931449502878076;-0.030587619663249917
Inf;4;-0.06334841628959276;-0.0010465724751439038;-0.03644534736971712
Inf;5;-0.06334841628959276;-0.0010465724751439038;-0.03810755071259274
Inf;6;-0.07735401853048912;-0.0020931449502878076;-0.037204112414196445
Inf;7;-0.06334841628959276;-0.0010465724751439038;-0.038793979130113586
Inf;8;-0.06334841628959276;-0.0020931449502878076;-0.044323883399513646
Inf;9;-0.06334841628959276;-0.0010465724751439038;-0.04406224028072768
Inf;10;-0.06334841628959276;-0.014005602240896357;-0.03666081817342321
Inf;11;-0.06334841628959276;-0.014005602240896357;-0.03349339735894358
Inf;12;-0.06230184381444886;-0.014005602240896357;-0.036713146797180414
Inf;13;-0.06230184381444886;-0.015052174716040262;-0.043983747345091875
Inf;14;-0.06230184381444886;-0.014005602240896357;-0.04245236556160926
Inf;15;-0.06334841628959276;-0.014005602240896357;-0.04014221073044602
Inf;16;-0.04986610028626835;-0.014005602240896357;-0.04120879120879121
Inf;17;-0.04986610028626835;-0.016098747191184166;-0.0413657770800628
Fea;17;0.5313826585119579;0.5313826585119579;0.5313826585119579
Inf;18;-0.048819527811124454;-0.016098747191184166;-0.037524240465416935
Fea;18;0.5284356055649049;0.5313826585119579;0.5299091320384314
Inf;19;-0.048819527811124454;-0.016098747191184166;-0.0360713516175701
Fea;19;0.5284356055649049;0.5313826585119579;0.5299091320384314
Inf;20;-0.048819527811124454;-0.017145319666328068;-0.039912888232215955
Fea;20;0.5284356055649049;0.5313826585119579;0.5299091320384314
Inf;21;-0.048819527811124454;-0.017145319666328068;-0.03869547819127652
Fea;21;0.5284356055649049;0.5394246165539158;0.5308310226478219
Inf;22;-0.048819527811124454;-0.017145319666328068;-0.04024686797796043
Fea;22;0.5284356055649049;0.5490094761387754;0.5328727886319582
Inf;23;-0.048819527811124454;-0.03115092190722443;-0.042760180995475114
Fea;23;0.5284356055649049;0.5490094761387754;0.534502622178713
Inf;24;-0.048819527811124454;-0.030104349432080523;-0.042269215378459075
Fea;24;0.5284356055649049;0.5490094761387754;0.5367641412597507
Inf;25;-0.048819527811124454;-0.030104349432080523;-0.04320497429741127
Fea;25;0.5284356055649049;0.5490094761387754;0.5398781726037287
Inf;26;-0.048819527811124454;-0.03115092190722443;-0.04403607596884908
Fea;26;0.5284356055649049;0.555652832782132;0.5413679379404327
Inf;27;-0.048819527811124454;-0.03115092190722443;-0.04183057838520023
Fea;27;0.5284356055649049;0.5560408801089548;0.5427763073488021
Inf;28;-0.048819527811124454;-0.030104349432080523;-0.04372210422630591
Fea;28;0.5303969438898796;0.5585874798344261;0.5461523266637823
Inf;29;-0.04777295533598055;-0.030104349432080523;-0.04192907932403732
Fea;29;0.5335715470644827;0.5602415773708767;0.5462146275081959
Inf;30;-0.04777295533598055;-0.017145319666328068;-0.03894480869270785
Fea;30;0.5335715470644827;0.5602415773708767;0.5464877611726717
Inf;31;-0.048819527811124454;-0.0010465724751439038;-0.03795672114999844
Fea;31;0.5357602808895803;0.5602415773708767;0.5513240449766335
Inf;32;-0.0493428140486964;-0.017145319666328068;-0.04158894326961554
Fea;32;0.5337274157954905;0.5687772900242364;0.5527331956533966
Inf;33;-0.04777295533598055;-0.014005602240896357;-0.04127497152707236
Fea;33;0.5311715363008356;0.5690354672211891;0.5546993260619025
Inf;34;-0.04777295533598055;-0.014005602240896357;-0.03984824699110413
Fea;34;0.5380204651497644;0.5749073730930949;0.5549131635081277
Inf;35;-0.04777295533598055;-0.014005602240896357;-0.03943577430972389
Fea;35;0.5380204651497644;0.5749073730930949;0.5595634376422048
Inf;36;-0.04777295533598055;-0.014005602240896357;-0.03881398713331487
Fea;36;0.5380204651497644;0.5792379404848869;0.5600116176791857
Inf;37;-0.04777295533598055;-0.014005602240896357;-0.034553821528611445
Fea;37;0.5437509478190227;0.5815996528465992;0.5645599674893077
Inf;38;-0.05968541262658909;-0.014005602240896357;-0.03634069012220272
Fea;38;0.5437509478190227;0.5815996528465992;0.5672450742431578
Inf;39;-0.05968541262658909;-0.014005602240896357;-0.037171791793640524
Fea;39;0.5457838129131122;0.5815996528465992;0.5681684827864524
Inf;40;-0.04777295533598055;-0.0010465724751439038;-0.03348724105026625
Fea;40;0.552656966214837;0.5815996528465992;0.5698738547915457
Inf;41;-0.04777295533598055;-0.0010465724751439038;-0.03234216763628528
Fea;41;0.552656966214837;0.5854443676825677;0.572400654947235
Inf;42;-0.04672638286083665;-0.0010465724751439038;-0.029384061316834426
Fea;42;0.55359822072752;0.5854443676825677;0.5762497064608347
