Pop;Iter;Min;Max;Avg
Inf;1;-0.06256526279150713;-0.009584307095619313;-0.03389003530406244
Inf;2;-0.06256526279150713;-0.018037392471781613;-0.031848242255482065
Inf;3;-0.061434041072050125;-0.018037392471781613;-0.03384839142757694
Inf;4;-0.05298095569588782;-0.010715528815076326;-0.029818258664412504
Inf;5;-0.05298095569588782;-0.010715528815076326;-0.02495773457311918
Inf;6;-0.05298095569588782;-0.009584307095619313;-0.02716921087961811
Inf;7;-0.05298095569588782;-0.009584307095619313;-0.029452165481577242
Inf;8;-0.05298095569588782;-0.010715528815076326;-0.02931231664263338
Inf;9;-0.05298095569588782;-0.002262443438914027;-0.026353736760976576
Inf;10;-0.05298095569588782;-0.002262443438914027;-0.024183904330963152
Inf;11;-0.05298095569588782;-0.009584307095619313;-0.02770498732037193
Inf;12;-0.05298095569588782;-0.0011312217194570135;-0.02395765998707175
Inf;13;-0.04452787031972552;-0.0011312217194570135;-0.01813870518621649
Inf;14;-0.04452787031972552;-0.0011312217194570135;-0.015278330267018048
Inf;15;-0.019168614191238626;-0.0011312217194570135;-0.01026304012729352
Fea;15;0.48533778736935423;0.48533778736935423;0.48533778736935423
Inf;16;-0.02762169956740092;-0.0011312217194570135;-0.008093207697280095
Fea;16;0.48533778736935423;0.4868418388734057;0.48608981312138
Inf;17;-0.019168614191238626;-0.0011312217194570135;-0.007417582417582416
Fea;17;0.48533778736935423;0.4868418388734057;0.48608981312138
Inf;18;-0.019168614191238626;-0.0011312217194570135;-0.006149619611158073
Fea;18;0.48533778736935423;0.4868418388734057;0.4860898131213799
Inf;19;-0.010715528815076326;-0.0011312217194570135;-0.0031344786435284176
Fea;19;0.48533778736935423;0.4868418388734057;0.48598238087109047
Inf;20;-0.010715528815076326;-0.0011312217194570135;-0.0032476008154741186
Fea;20;0.48533778736935423;0.4990729411045079;0.48662616565773253
Inf;21;-0.020299835910695643;-0.0011312217194570135;-0.004515563621898464
Fea;21;0.48533778736935423;0.5033647161198451;0.4883616224293674
Inf;22;-0.019168614191238626;-0.0011312217194570135;-0.0033874496544179797
Fea;22;0.48533778736935423;0.5033647161198451;0.4902088307765758
Inf;23;-0.020299835910695643;-0.0011312217194570135;-0.00327432748247228
Fea;23;0.48533778736935423;0.5033647161198451;0.49201432158206665
Inf;24;-0.010715528815076326;-0.0011312217194570135;-0.002315896772910349
Fea;24;0.48533778736935423;0.5059071325540839;0.4930997290464645
Inf;25;-0.010715528815076326;-0.0011312217194570135;-0.00242901894485605
Fea;25;0.48533778736935423;0.5076576896892565;0.4948483977397974
Inf;26;-0.01184675053453334;-0.0011312217194570135;-0.002598702202774602
Fea;26;0.4868418388734057;0.5091039357508872;0.495594425216594
Inf;27;-0.018037392471781613;-0.0011312217194570135;-0.004459002535925613
Fea;27;0.4868418388734057;0.5106751129540514;0.498496867441232
Inf;28;-0.01184675053453334;-0.0011312217194570135;-0.003923226095171798
Fea;28;0.4868418388734057;0.5128092048407716;0.49954176703148534
Inf;29;-0.01184675053453334;-0.0011312217194570135;-0.004009621600119339
Fea;29;0.4868418388734057;0.5186287982401765;0.5006653876674748
Inf;30;-0.0033936651583710412;-0.0011312217194570135;-0.0022624434389140282
Fea;30;0.4868418388734057;0.5202618254802055;0.5036479131635943
Inf;31;-0.0033936651583710412;-0.0011312217194570135;-0.0023755656108597296
Fea;31;0.4868418388734057;0.5203997545565874;0.5073860089003467
Inf;32;-0.0033936651583710412;-0.0011312217194570135;-0.00243212669683258
Fea;32;0.4900486320801989;0.5213327325950687;0.5114923472043568
Inf;33;-0.0033936651583710412;-0.0011312217194570135;-0.002036199095022625
Fea;33;0.4900486320801989;0.5324906223243869;0.5129026288341436
Inf;34;-0.01184675053453334;-0.0011312217194570135;-0.002911342051613545
Fea;34;0.4900486320801989;0.5324906223243869;0.5123700767173063
Inf;35;-0.01184675053453334;-0.0011312217194570135;-0.004462110287902143
Fea;35;0.4900486320801989;0.5341688708158223;0.5131681826517758
Inf;36;-0.01184675053453334;-0.0011312217194570135;-0.004688354631793547
Fea;36;0.4932454352770021;0.5350880965176567;0.5196227674719948
Inf;37;-0.01184675053453334;-0.0011312217194570135;-0.003729923922231615
Fea;37;0.4932454352770021;0.5390618288955935;0.5222435334304232
Inf;38;-0.01184675053453334;-0.0011312217194570135;-0.00423586594401074
Fea;38;0.5012434463362377;0.5407985038090917;0.5259339595619921
Inf;39;-0.010715528815076326;-0.002262443438914027;-0.004911491223708419
Fea;39;0.5012434463362377;0.541640202902539;0.5298168540085619
Inf;40;-0.010715528815076326;-0.002262443438914027;-0.004235865944010741
Fea;40;0.5012434463362377;0.541640202902539;0.5252559883383112
Inf;41;-0.012977972253990356;-0.002262443438914027;-0.003926333847148329
Fea;41;0.5012434463362377;0.541640202902539;0.5284537032610708
Inf;42;-0.012977972253990356;-0.002262443438914027;-0.0038132116752026277
Fea;42;0.5108644828960497;0.5476468299004197;0.532102463353016
Inf;43;-0.010715528815076326;-0.0011312217194570135;-0.0030511908905574057
Fea;43;0.5108644828960497;0.5476468299004197;0.5349384588581398
Inf;44;-0.01184675053453334;-0.002262443438914027;-0.004122743772065039
Fea;44;0.5245395258018619;0.5565450647245804;0.5386878756796685
Inf;45;-0.01184675053453334;-0.002262443438914027;-0.004828203470737408
Fea;45;0.5277880257455186;0.5565450647245804;0.5412595924232583
Inf;46;-0.012977972253990356;-0.002262443438914027;-0.00488476455671026
Fea;46;0.532152804695929;0.5565450647245804;0.542848758326018
Inf;47;-0.012977972253990356;-0.002262443438914027;-0.005956317438217892
Fea;47;0.5331242743866105;0.5565450647245804;0.5441533218101949
Inf;48;-0.012977972253990356;-0.002262443438914027;-0.004209139277012582
Fea;48;0.53120747323904;0.5583765665560823;0.5445554864268696
Inf;49;-0.012977972253990356;-0.002262443438914027;-0.003843046094177316
Fea;49;0.53120747323904;0.5583765665560823;0.5472605290650518
Inf;50;-0.01184675053453334;-0.002262443438914027;-0.003953060514146488
Fea;50;0.53120747323904;0.5664351746146903;0.552108195976323
Inf;51;-0.01184675053453334;-0.002262443438914027;-0.0032774352344488084
Fea;51;0.5434362700832215;0.5715633797428954;0.5565250645673274
Inf;52;-0.0033936651583710412;-0.002262443438914027;-0.0024886877828054293
Fea;52;0.5462521208990724;0.5715633797428954;0.5580950433830647
Inf;53;-0.01184675053453334;-0.0011312217194570135;-0.002911342051613545
Fea;53;0.5452677719147233;0.5757615625125067;0.5596778492144464
Inf;54;-0.010715528815076326;-0.0011312217194570135;-0.0031077519765302566
Fea;54;0.5452677719147233;0.5757615625125067;0.561429792312185
Inf;55;-0.0084530853761623;-0.002262443438914027;-0.0026850977077221413
Fea;55;0.5452677719147233;0.5757615625125067;0.5617966718337247
Inf;56;-0.0033936651583710412;-0.0011312217194570135;-0.0021493212669683255
Fea;56;0.5452677719147233;0.5820836629086812;0.5633063586691197
Inf;57;-0.004524886877828054;-0.0011312217194570135;-0.002205882352941176
Fea;57;0.556336693195285;0.5820836629086812;0.5651947729945715
